date,symbol,constraint,original_weight,adjusted_weight,weight_delta,reason,theme,before_exposure,after_exposure,scale,realized_volatility,drawdown,turnover_before,turnover_after
2022-02-25,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-04,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-04,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-04,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-04,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-04,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-04,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-11,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-11,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-11,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-11,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-11,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-11,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-18,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-18,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-18,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-18,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-18,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-18,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-25,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-25,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-25,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-03-25,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-25,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-03-25,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-01,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-01,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-01,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-01,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-01,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-01,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-08,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-08,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-08,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-08,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-08,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-08,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-15,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-15,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-15,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-15,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-15,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-15,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-22,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-22,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-22,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-22,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-22,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-22,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-29,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-29,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-29,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-04-29,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-29,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-29,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-04-29,__portfolio__,drawdown_circuit_breaker,0.44999999999999996,0.0,-0.44999999999999996,portfolio_drawdown_breached,,,,0.0,,-0.1034814192706166,,
2022-05-06,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-05-06,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-05-06,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-05-06,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-05-06,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-05-06,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-05-13,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-05-13,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-05-13,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-05-13,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-05-13,600362,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-05-13,601899,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
2022-05-13,__portfolio__,drawdown_circuit_breaker,0.44999999999999996,0.0,-0.44999999999999996,portfolio_drawdown_breached,,,,0.0,,-0.1125435453126421,,
2022-05-20,000630,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-05-20,600362,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-05-20,601899,max_single_weight,0.3,0.2,-0.09999999999999998,single_name_weight_cap,,,,,,,,
2022-05-20,000630,max_theme_weight,0.2,0.15,-0.05000000000000002,theme_weight_cap,metals_energy_metals,0.6000000000000001,0.45,0.7499999999999999,,,,
