source,source_url,published_at,symbol,related_symbols,title,summary,quality_flag,event_type,sentiment,impact_score,confidence
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-02-11 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-02-11 收盘 2.094e+04; 1日涨跌 3.25%, 5日涨跌 -10.92%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-02-13 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-02-13 收盘 1.978e+04; 1日涨跌 -4.09%, 5日涨跌 5.23%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.4183201234108189,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-02-24 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-02-24 收盘 2.233e+04; 1日涨跌 12.87%, 5日涨跌 6.97%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-02-25 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-02-25 收盘 2.303e+04; 1日涨跌 3.14%, 5日涨跌 13.53%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-02-26 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-02-26 收盘 2.257e+04; 1日涨跌 -1.98%, 5日涨跌 7.77%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.6218487394957979,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-02-27 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-02-27 收盘 2.302e+04; 1日涨跌 1.98%, 5日涨跌 11.60%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-03-02 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-03-02 收盘 2.443e+04; 1日涨跌 6.13%, 5日涨跌 23.50%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-03-03 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-03-03 收盘 2.164e+04; 1日涨跌 -11.40%, 5日涨跌 -3.05%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-03-04 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-03-04 收盘 2.158e+04; 1日涨跌 -0.31%, 5日涨跌 -6.30%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.5040600981371313,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-03-06 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-03-06 收盘 2.153e+04; 1日涨跌 0.77%, 5日涨跌 -6.46%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.5164429384421565,0.7
