date,cash,market_value,equity,daily_return,running_max,drawdown
2022-01-03,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0
2022-01-04,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0
2022-01-05,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0
2022-01-06,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0
2022-01-07,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0
2022-01-10,16905.852367216256,976128.1236437876,993033.9760110038,-0.006966023988996151,1000000.0,-0.006966023988996151
2022-01-11,16905.852367216256,981524.9248485953,998430.7772158115,0.00543465917096464,1000000.0,-0.0015692227841884732
2022-01-12,16905.852367216256,971734.555266387,988640.4076336032,-0.009805756999508142,1000000.0,-0.011359592366396831
2022-01-13,16905.852367216256,970644.446267011,987550.2986342272,-0.0011026344775703079,1000000.0,-0.012449701365772725
2022-01-14,16905.852367216256,962981.867983516,979887.7203507322,-0.007759177729065869,1000000.0,-0.02011227964926776
2022-01-17,19499.0074830306,964435.0059408549,983934.0134238855,0.004129343586125378,1000000.0,-0.016065986576114577
2022-01-18,19499.0074830306,954754.6565186104,974253.664001641,-0.009838413237244326,1000000.0,-0.02574633599835907
2022-01-19,19499.0074830306,951727.7451384846,971226.7526215152,-0.0031069027420365103,1000000.0,-0.028773247378484856
2022-01-20,19499.0074830306,951686.5839816949,971185.5914647254,-4.238058381178522e-05,1000000.0,-0.028814408535274616
2022-01-21,19499.0074830306,949397.5351931442,968896.5426761748,-0.0023569632917415095,1000000.0,-0.031103457323825245
2022-01-24,18351.892736185953,939029.1559846766,957381.0487208625,-0.011885163635227292,1000000.0,-0.04261895127913751
2022-01-25,18351.892736185953,935183.557607898,953535.450344084,-0.0040167897431399036,1000000.0,-0.046464549655916065
2022-01-26,18351.892736185953,923018.4242023882,941370.3169385741,-0.012757924627888828,1000000.0,-0.05862968306142591
2022-01-27,18351.892736185953,926748.7260726601,945100.618808846,0.003962629587050515,1000000.0,-0.054899381191154006
2022-01-28,18351.892736185953,915623.2694391499,933975.1621753358,-0.011771716589850656,1000000.0,-0.06602483782466417
2022-01-31,15436.211507003212,925590.3567499199,941026.5682569231,0.007549886086010815,1000000.0,-0.0589734317430769
