symbol,rows,start_date,end_date,missing_ratio,duplicate_dates,missing_cells,non_positive_price_rows,high_low_error_rows,amount_error_rows
000002,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
000012,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
000031,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
000034,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
000050,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
