date,factor,ic,rank_ic
2022-01-04,momentum_1,0.5849797726612171,0.5151515151515151
2022-01-05,momentum_1,-0.20071224525582534,-0.3575757575757576
2022-01-06,momentum_1,-0.025410235160893878,-0.01818181818181818
2022-01-07,momentum_1,-0.3569720046446278,-0.28484848484848485
2022-01-10,momentum_1,0.623479431155702,0.7333333333333333
2022-01-11,momentum_1,-0.06707400285615799,0.15151515151515152
2022-01-12,momentum_1,0.03926564601491209,0.09090909090909091
2022-01-13,momentum_1,0.06931835699691502,0.23636363636363636
2022-01-14,momentum_1,-0.08113884028424914,-0.09090909090909091
2022-01-17,momentum_1,0.3564953352119975,0.38181818181818183
2022-01-18,momentum_1,-0.32515846579326835,-0.2606060606060606
2022-01-19,momentum_1,-0.395038717749784,-0.030303030303030304
2022-01-20,momentum_1,0.040313849871539346,-0.06666666666666667
2022-01-21,momentum_1,0.347667892832617,0.2
2022-01-24,momentum_1,-0.6424403222872221,-0.6606060606060606
2022-01-25,momentum_1,0.011085087669919277,-0.01818181818181818
2022-01-26,momentum_1,-0.5312777768872452,-0.38181818181818183
2022-01-27,momentum_1,-0.07382015058980737,0.10303030303030303
2022-01-28,momentum_1,-0.3813701647868137,-0.3696969696969697
2022-01-31,momentum_1,-0.48630965098763207,-0.6606060606060606
2022-02-01,momentum_1,0.12798300469326418,0.16363636363636364
2022-02-02,momentum_1,-0.29392237240216906,-0.01818181818181818
2022-02-03,momentum_1,0.435176172984725,0.2
2022-02-04,momentum_1,-0.14263128354382767,-0.09090909090909091
2022-02-07,momentum_1,-0.21813234178071744,0.006060606060606061
2022-02-08,momentum_1,0.08312754831581058,0.296969696969697
2022-02-09,momentum_1,0.02405603818766989,0.10303030303030303
2022-02-10,momentum_1,0.04710853577012068,0.006060606060606061
2022-02-11,momentum_1,-0.2864721571240165,0.06666666666666667
2022-02-14,momentum_1,-0.5952887026317097,-0.8666666666666667
2022-02-15,momentum_1,0.32829225208152174,0.11515151515151516
2022-02-16,momentum_1,-0.07839233992308535,-0.2606060606060606
2022-02-17,momentum_1,0.5266737964446407,0.3090909090909091
2022-02-18,momentum_1,-0.14833514778834928,-0.296969696969697
2022-02-21,momentum_1,0.23146617017448684,0.15151515151515152
2022-02-22,momentum_1,0.1750927651984416,0.4303030303030303
2022-02-23,momentum_1,-0.44412059237794616,-0.44242424242424244
2022-02-24,momentum_1,0.10829441394517642,-0.006060606060606061
2022-02-25,momentum_1,0.4018210963791282,0.296969696969697
2022-02-28,momentum_1,0.7855847267734232,0.8303030303030303
