date,symbol,score,future_return_1d,direction_up_1d,score_percentile,prob_up,predicted_direction,horizon_days,future_return_5d,direction_up_5d,future_return_20d,direction_up_20d
2020-03-26,000630,0.3709999999999999,0.005025125628140614,1.0,0.8,0.4862256955634332,0,1,,,,
2020-03-27,000630,0.3154999999999999,-0.0050000000000000044,0.0,0.65,0.48007909239933666,0,1,,,,
2020-03-30,000630,0.379,0.0,0.0,0.85,0.47875232222107544,0,1,,,,
2020-03-31,000630,0.36249999999999993,0.0,0.0,0.8,0.4792446116810399,0,1,,,,
2020-04-01,000630,0.36650000000000005,0.005025125628140614,1.0,0.75,0.4773301901607969,0,1,,,,
2020-04-02,000630,0.3355,-0.010000000000000009,0.0,0.65,0.4787319797392805,0,1,,,,
2020-04-03,000630,0.4939999999999999,0.025252525252525304,1.0,0.75,0.47677863910422047,0,1,,,,
2020-04-07,000630,0.5345000000000001,0.0,0.0,0.8,0.4861029401567693,0,1,,,,
2020-04-08,000630,0.5015000000000001,-0.0049261083743842304,0.0,0.7,0.48343702245166054,0,1,,,,
2020-04-09,000630,0.508,-0.00990099009901002,0.0,0.8,0.4796224270632112,0,1,,,,
2020-04-10,000630,0.45225000000000004,0.0,0.0,0.7,0.4746406347577839,0,1,,,,
2020-04-13,000630,0.42000000000000004,0.010000000000000009,1.0,0.6,0.47467480760313463,0,1,,,,
2020-04-14,000630,0.4940000000000001,-0.00990099009901002,0.0,0.75,0.48577566837339037,0,1,,,,
2020-04-15,000630,0.4065000000000001,0.0,0.0,0.6,0.47757477756210637,0,1,,,,
2020-04-16,000630,0.357,-0.0050000000000000044,0.0,0.6,0.47478139430222754,0,1,,,,
2020-04-17,000630,0.379,0.005025125628140614,1.0,0.5,0.4720525500881437,0,1,,,,
2020-04-20,000630,0.36324999999999996,-0.010000000000000009,0.0,0.45,0.4687159168469396,0,1,,,,
2020-04-21,000630,0.2985,0.005050505050504972,1.0,0.35,0.46045582851924527,0,1,,,,
2020-04-22,000630,0.35,0.0,0.0,0.5,0.46372054438870375,0,1,,,,
2020-04-23,000630,0.39249999999999985,-0.01005025125628134,0.0,0.55,0.4614399232066001,0,1,,,,
2020-04-24,000630,0.4225,-0.01015228426395931,0.0,0.55,0.45897992868743287,0,1,,,,
2020-04-27,000630,0.40049999999999997,-0.02051282051282044,0.0,0.55,0.454853993898509,0,1,,,,
2020-04-28,000630,0.3534999999999999,0.005235602094240788,1.0,0.5,0.4483095069280241,0,1,,,,
2020-04-29,000630,0.3730000000000001,0.01041666666666674,1.0,0.5,0.45087235640122264,0,1,,,,
2020-04-30,000630,0.36849999999999994,0.0,0.0,0.45,0.4549420553283267,0,1,,,,
2020-05-06,000630,0.376,-0.005154639175257714,0.0,0.5,0.46096853476240673,0,1,,,,
2020-05-07,000630,0.382,0.005181347150259086,1.0,0.5,0.45576714172565214,0,1,,,,
2020-05-08,000630,0.371,0.010309278350515427,1.0,0.5,0.46067963774021503,0,1,,,,
2020-05-11,000630,0.4085,-0.010204081632653073,0.0,0.6,0.46146621564651225,0,1,,,,
2020-05-12,000630,0.39275000000000004,0.0,0.0,0.6,0.45657882755330115,0,1,,,,
2020-05-13,000630,0.36875,-0.010309278350515427,0.0,0.55,0.4550851719302253,0,1,,,,
2020-05-14,000630,0.38750000000000007,0.0,0.0,0.6,0.45526120937885645,0,1,,,,
2020-05-15,000630,0.4005000000000001,0.01041666666666674,1.0,0.6,0.4584943888726493,0,1,,,,
2020-05-18,000630,0.36950000000000005,-0.005154639175257714,0.0,0.5,0.45793453592317657,0,1,,,,
2020-05-19,000630,0.3945000000000001,-0.01036269430051806,0.0,0.5,0.4572861126072926,0,1,,,,
2020-05-20,000630,0.3365,-0.010471204188481797,0.0,0.4,0.45117153177190783,0,1,,,,
2020-05-21,000630,0.36,-0.005291005291005235,0.0,0.45,0.4531370051249388,0,1,,,,
2020-05-22,000630,0.34349999999999997,-0.005319148936170248,0.0,0.4,0.44768504586729324,0,1,,,,
2020-05-25,000630,0.295,0.005347593582887722,1.0,0.35,0.44216419354669,0,1,,,,
2020-05-26,000630,0.32549999999999996,-0.005319148936170248,0.0,0.35,0.4469128469228525,0,1,,,,
2020-05-27,000630,0.28150000000000003,0.005347593582887722,1.0,0.3,0.4407980098558084,0,1,,,,
2020-05-28,000630,0.198,0.005319148936170137,1.0,0.1,0.4362183727708136,0,1,,,,
2020-05-29,000630,0.2635,0.01587301587301604,1.0,0.2,0.43985242180485096,0,1,,,,
2020-06-01,000630,0.28099999999999997,0.005208333333333259,1.0,0.25,0.4487985231726208,0,1,,,,
2020-06-02,000630,0.23199999999999998,-0.01036269430051806,0.0,0.1,0.44511379413103186,0,1,,,,
2020-06-03,000630,0.22199999999999998,0.005235602094240788,1.0,0.1,0.44651211665498297,0,1,,,,
2020-06-04,000630,0.20500000000000002,-0.00520833333333337,0.0,0.05,0.44539397033448896,0,1,,,,
2020-06-05,000630,0.22600000000000003,0.02617801047120416,1.0,0.2,0.44802114359878875,0,1,,,,
2020-06-08,000630,0.21199999999999997,-0.010204081632653073,0.0,0.05,0.44924552013329483,0,1,,,,
2020-06-09,000630,0.20750000000000002,-0.005154639175257714,0.0,0.05,0.44981888673258347,0,1,,,,
2020-06-10,000630,0.2265000000000001,0.0,0.0,0.15,0.4469693667818411,0,1,,,,
2020-06-11,000630,0.21450000000000008,0.010362694300518172,1.0,0.05,0.4412845885466796,0,1,,,,
2020-06-12,000630,0.2805,-0.01538461538461533,0.0,0.2,0.4443730188763526,0,1,,,,
2020-06-15,000630,0.32800000000000007,0.01041666666666674,1.0,0.45,0.45027152353286626,0,1,,,,
2020-06-16,000630,0.325,-0.010309278350515427,0.0,0.5,0.4570344880217235,0,1,,,,
2020-06-17,000630,0.3360000000000001,0.015625,1.0,0.45,0.4557809720004094,0,1,,,,
2020-06-18,000630,0.36350000000000005,0.0,0.0,0.5,0.4592767167235984,0,1,,,,
