date,symbol,distance,horizon_days,future_return
2026-06-09,000630,7.831680029478266,1,0.016000000000000014
2022-03-11,000630,8.660560872698074,1,-0.06649616368286448
2022-03-11,000630,8.660560872698074,5,-0.0613810741687979
2022-03-11,000630,8.660560872698074,20,0.028132992327365658
2022-03-18,000630,8.85618724246258,1,-0.013623978201634968
2022-03-18,000630,8.85618724246258,5,0.016348773841961872
2022-03-18,000630,8.85618724246258,20,0.11171662125340598
2026-06-05,000630,9.558157916363758,1,-0.07919269528565176
2022-01-26,000630,9.769865379273117,1,-0.04432132963988911
2022-01-26,000630,9.769865379273117,5,0.07756232686980624
2022-01-26,000630,9.769865379273117,20,0.1024930747922439
2022-02-07,000630,9.796044795473481,1,0.020172910662824117
2022-02-07,000630,9.796044795473481,5,0.11239193083573484
2022-02-07,000630,9.796044795473481,20,0.2190201729106629
2022-02-08,000630,9.903547574423849,1,0.09887005649717517
2022-02-08,000630,9.903547574423849,5,0.07909604519774005
2022-02-08,000630,9.903547574423849,20,0.1384180790960452
2026-06-01,000630,9.928649241947102,1,0.03812316715542541
2026-06-01,000630,9.928649241947102,5,-0.12374788744924914
2022-03-17,000630,9.959370259801688,1,0.042613636363636465
2022-03-17,000630,9.959370259801688,5,0.09943181818181812
2022-03-17,000630,9.959370259801688,20,0.13636363636363624
2026-06-04,000630,10.047989361895278,1,-0.029895366218236075
2022-03-21,000630,10.192371472065421,1,0.04419889502762442
2022-03-21,000630,10.192371472065421,5,0.03314917127071837
2022-03-21,000630,10.192371472065421,20,0.07734806629834257
2022-04-22,000630,10.277743776376804,1,-0.08823529411764708
2022-04-22,000630,10.277743776376804,5,-0.06417112299465244
2022-04-22,000630,10.277743776376804,20,-0.1180582936605763
2026-05-22,000630,10.539608094068559,1,0.05974842767295585
2026-05-22,000630,10.539608094068559,5,0.08490566037735836
2022-02-17,000630,10.631761632759101,1,0.02604166666666674
2022-02-17,000630,10.631761632759101,5,0.0
2022-02-17,000630,10.631761632759101,20,-0.08333333333333326
2022-02-24,000630,10.676024140148044,1,-0.0026041666666667407
2022-02-24,000630,10.676024140148044,5,0.11979166666666652
2022-02-24,000630,10.676024140148044,20,0.0078125
2022-04-06,000630,10.767115145613925,1,0.01049868766404205
2022-04-06,000630,10.767115145613925,5,0.11286089238845132
2022-04-06,000630,10.767115145613925,20,-0.1417322834645669
2021-05-17,000630,10.771559526286962,1,0.013468013468013407
2021-05-17,000630,10.771559526286962,5,-0.03367003367003363
2021-05-17,000630,10.771559526286962,20,-0.06808604243840477
2022-03-22,000630,10.811631297979359,1,-0.00793650793650802
2022-03-22,000630,10.811631297979359,5,-0.002645502645502673
2022-03-22,000630,10.811631297979359,20,-0.02910052910052907
2022-02-18,000630,10.854577867793132,1,-0.017766497461928932
2022-02-18,000630,10.854577867793132,5,-0.027918781725888353
2022-02-18,000630,10.854577867793132,20,-0.06852791878172582
2022-04-07,000630,10.884425546524744,1,0.049350649350649256
2022-04-07,000630,10.884425546524744,5,0.1324675324675324
2022-04-07,000630,10.884425546524744,20,-0.1584415584415585
