model_type,horizon_days,market_regime,rows,symbols,direction_accuracy,baseline_accuracy,auc,brier,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status,regime_source
ensemble,1,bearish_oos,6026,30,0.7132426153335546,0.8720544307998672,0.5360989040145818,0.22824933123878055,0.04148147875853373,-0.017837737939352075,-0.017840762476889784,-0.018889736606411744,0.0010489741295219603,ok,ex_post_oos_forward_return_for_evaluation_only
ensemble,1,bullish_oos,4598,30,0.3240539364941279,0.868421052631579,0.49257647163527907,0.2716887054400798,0.023482141195188575,0.019437359581683647,0.01947222567325985,0.018452083612347906,0.0010201420609119438,ok,ex_post_oos_forward_return_for_evaluation_only
ensemble,1,high_volatility,5939,30,0.4492338777571982,0.5731604647247012,0.4754063556739142,0.2616250027635764,-0.05907906555537737,0.007453132609213688,0.0028981882779522492,0.011490979328315042,-0.008592791050362793,weak_or_failed,ex_post_oos_forward_return_for_evaluation_only
ensemble,1,sideways_oos,6406,30,0.50655635341867,0.5176397127692788,0.5207905867794083,0.25218064427242465,0.020651641097910726,0.0014363195954294767,0.0023196122100264207,0.0012241087081236168,0.0010955035019028039,ok,ex_post_oos_forward_return_for_evaluation_only
ensemble,5,bearish_oos,6137,30,0.6732931399706698,0.8320026071370377,0.5328893604944717,0.22637464847037275,0.12810377970223535,-0.03536628451335354,-0.028225603558204974,-0.04496894182359683,0.016743338265391854,ok,ex_post_oos_forward_return_for_evaluation_only
ensemble,5,bullish_oos,3790,30,0.37889182058047494,0.8303430079155673,0.500633549145277,0.2783645919937213,-0.03253457608957917,0.03584375720338944,0.033215595686361725,0.04022251943854863,-0.007006923752186908,weak_or_failed,ex_post_oos_forward_return_for_evaluation_only
ensemble,5,high_volatility,5878,30,0.4322898945219462,0.6611092208234093,0.541333243421447,0.27470599524262346,0.025505771991461403,0.035472260743974686,0.03795865527748112,0.03595546655510515,0.0020031887223759745,ok,ex_post_oos_forward_return_for_evaluation_only
ensemble,5,sideways_oos,6884,30,0.48925043579314353,0.5591226031377107,0.5310439434620687,0.2605565913764175,0.04798139049052345,0.00756835014288882,0.008141491587571686,0.0061876619739818315,0.001953829613589855,ok,ex_post_oos_forward_return_for_evaluation_only
ensemble,20,bearish_oos,5750,30,0.6203478260869565,0.8241739130434783,0.5223346104853366,0.23610992030341993,0.11894337272157877,-0.059525978526606356,-0.051194582620535216,-0.08034003024228416,0.029145447621748942,ok,ex_post_oos_forward_return_for_evaluation_only
ensemble,20,bullish_oos,4209,30,0.3955808980755524,0.9177952007602757,0.5402974566773255,0.30884043603706696,0.08608641009316802,0.11639983722704059,0.12961843809365914,0.11436039841808299,0.015258039675576152,ok,ex_post_oos_forward_return_for_evaluation_only
