event_id,symbol,published_at,horizon_days,cohort_key,prior_sample_count,prior_mean_return,prior_positive_rate,prior_mean_excess_return_proxy,prior_outcome_cutoff,pit_ready,no_future_leakage,reason
6b108a213a4d5b3c,000630,2024-08-08T00:00:00,1,commodity_shock|negative,286,0.00466681864182271,0.5769230769230769,0.0005717074597127987,2024-08-06,True,True,prior_ready
6b108a213a4d5b3c,000630,2024-08-08T00:00:00,5,commodity_shock|negative,285,0.00655995575149066,0.519298245614035,-0.0007094646161064582,2024-08-06,True,True,prior_ready
6b108a213a4d5b3c,000630,2024-08-08T00:00:00,20,commodity_shock|negative,238,-0.00818629950370076,0.4369747899159664,0.005239895925578199,2024-08-07,True,True,prior_ready
be239f826504a6ed,000630,2024-11-22T00:00:00,1,commodity_shock|positive,292,-0.0017693516996879477,0.4280821917808219,0.0005328869501444044,2024-11-19,True,True,prior_ready
be239f826504a6ed,000630,2024-11-22T00:00:00,5,commodity_shock|positive,283,-0.004094957566928438,0.37809187279151946,0.00438068768201743,2024-11-01,True,True,prior_ready
be239f826504a6ed,000630,2024-11-22T00:00:00,20,commodity_shock|positive,282,0.018727377473591652,0.5177304964539007,-0.0031584060438884006,2024-11-21,True,True,prior_ready
42fa053ead4f0b06,000630,2025-02-05T00:00:00,1,commodity_shock|positive,321,-0.0012564291419378953,0.43302180685358255,0.00042717495050737105,2025-01-20,True,True,prior_ready
42fa053ead4f0b06,000630,2025-02-05T00:00:00,5,commodity_shock|positive,321,-0.0029145990885280837,0.37694704049844235,0.003488957230106296,2025-01-24,True,True,prior_ready
42fa053ead4f0b06,000630,2025-02-05T00:00:00,20,commodity_shock|positive,303,0.017997154021482362,0.5181518151815182,-0.0044490407915009755,2024-12-27,True,True,prior_ready
c77e0ac455af566a,000630,2025-02-11T00:00:00,1,commodity_shock|positive,331,-0.0004919394573908558,0.44410876132930516,0.0004447835898110056,2025-02-06,True,True,prior_ready
c77e0ac455af566a,000630,2025-02-11T00:00:00,5,commodity_shock|positive,321,-0.0029145990885280837,0.37694704049844235,0.003488957230106296,2025-01-24,True,True,prior_ready
c77e0ac455af566a,000630,2025-02-11T00:00:00,20,commodity_shock|positive,303,0.017997154021482362,0.5181518151815182,-0.0044490407915009755,2024-12-27,True,True,prior_ready
c093c07cb21f0c04,000630,2025-04-07T00:00:00,1,commodity_shock|negative,413,0.004901510030992348,0.5617433414043583,0.001141304765136144,2025-04-03,True,True,prior_ready
c093c07cb21f0c04,000630,2025-04-07T00:00:00,5,commodity_shock|negative,404,0.013026476935343975,0.504950495049505,0.003101120505090862,2025-03-10,True,True,prior_ready
c093c07cb21f0c04,000630,2025-04-07T00:00:00,20,commodity_shock|negative,404,0.03739667439598631,0.5024752475247525,0.014571088286671124,2025-03-31,True,True,prior_ready
8ba5f9142fa6117c,000630,2025-04-08T00:00:00,1,commodity_shock|negative,427,0.0009452976650790427,0.5433255269320844,0.0004304225490251768,2025-04-07,True,True,prior_ready
8ba5f9142fa6117c,000630,2025-04-08T00:00:00,5,commodity_shock|negative,404,0.013026476935343975,0.504950495049505,0.003101120505090862,2025-03-10,True,True,prior_ready
8ba5f9142fa6117c,000630,2025-04-08T00:00:00,20,commodity_shock|negative,404,0.03739667439598631,0.5024752475247525,0.014571088286671124,2025-03-31,True,True,prior_ready
613da3612a93976c,000630,2025-04-09T00:00:00,1,commodity_shock|negative,460,7.444309905963622e-06,0.532608695652174,-0.000145870496582811,2025-04-08,True,True,prior_ready
613da3612a93976c,000630,2025-04-09T00:00:00,5,commodity_shock|negative,404,0.013026476935343975,0.504950495049505,0.003101120505090862,2025-03-10,True,True,prior_ready
613da3612a93976c,000630,2025-04-09T00:00:00,20,commodity_shock|negative,404,0.03739667439598631,0.5024752475247525,0.014571088286671124,2025-03-31,True,True,prior_ready
f1c57771198f051f,000630,2025-04-10T00:00:00,1,commodity_shock|negative,485,0.0004199652760312483,0.5381443298969072,-0.0007989425931451054,2025-04-09,True,True,prior_ready
f1c57771198f051f,000630,2025-04-10T00:00:00,5,commodity_shock|negative,404,0.013026476935343975,0.504950495049505,0.003101120505090862,2025-03-10,True,True,prior_ready
f1c57771198f051f,000630,2025-04-10T00:00:00,20,commodity_shock|negative,404,0.03739667439598631,0.5024752475247525,0.014571088286671124,2025-03-31,True,True,prior_ready
4596bb769df1f672,000630,2025-04-14T00:00:00,1,commodity_shock|positive,361,-0.0013572520760188602,0.4293628808864266,-0.00026264050124154953,2025-04-03,True,True,prior_ready
4596bb769df1f672,000630,2025-04-14T00:00:00,5,commodity_shock|positive,361,-0.005444013166325433,0.3684210526315789,0.0008670752155463554,2025-04-10,True,True,prior_ready
4596bb769df1f672,000630,2025-04-14T00:00:00,20,commodity_shock|positive,341,0.02066755341720076,0.530791788856305,-0.007131640228056467,2025-03-11,True,True,prior_ready
028aa29a482c6162,000630,2025-04-15T00:00:00,1,commodity_shock|positive,361,-0.0013572520760188602,0.4293628808864266,-0.00026264050124154953,2025-04-03,True,True,prior_ready
028aa29a482c6162,000630,2025-04-15T00:00:00,5,commodity_shock|positive,361,-0.005444013166325433,0.3684210526315789,0.0008670752155463554,2025-04-10,True,True,prior_ready
028aa29a482c6162,000630,2025-04-15T00:00:00,20,commodity_shock|positive,341,0.02066755341720076,0.530791788856305,-0.007131640228056467,2025-03-11,True,True,prior_ready
8c1a90d7317c1fc1,000630,2025-04-16T00:00:00,1,commodity_shock|positive,371,-0.00145059206569975,0.42318059299191374,-0.00025325991394734265,2025-04-15,True,True,prior_ready
8c1a90d7317c1fc1,000630,2025-04-16T00:00:00,5,commodity_shock|positive,361,-0.005444013166325433,0.3684210526315789,0.0008670752155463554,2025-04-10,True,True,prior_ready
8c1a90d7317c1fc1,000630,2025-04-16T00:00:00,20,commodity_shock|positive,341,0.02066755341720076,0.530791788856305,-0.007131640228056467,2025-03-11,True,True,prior_ready
0a64ffe4a1f78498,000630,2025-04-17T00:00:00,1,commodity_shock|positive,381,-0.0014785933852573777,0.4225721784776903,-5.663188733873083e-05,2025-04-16,True,True,prior_ready
0a64ffe4a1f78498,000630,2025-04-17T00:00:00,5,commodity_shock|positive,361,-0.005444013166325433,0.3684210526315789,0.0008670752155463554,2025-04-10,True,True,prior_ready
0a64ffe4a1f78498,000630,2025-04-17T00:00:00,20,commodity_shock|positive,346,0.01850942426572142,0.5260115606936416,-0.0073310408796287,2025-04-16,True,True,prior_ready
42010b7a23eb7bcc,000630,2025-04-21T00:00:00,1,commodity_shock|positive,401,-0.00183972726083109,0.4164588528678304,-0.0005345877193949258,2025-04-18,True,True,prior_ready
