date,holding_count,gross_weight,event_exposed_weight,risk_event_weight,weighted_event_impact,weighted_positive_events,weighted_negative_events,weighted_risk_events
2022-03-30,3,0.8936260414105335,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,3,0.8935166521737353,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,3,0.8942184706781374,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04,3,0.8996316809295223,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-05,3,0.8990100936897794,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-06,3,0.897450598241195,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-07,3,0.8979367818961455,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-08,3,0.8954689394082653,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-11,3,0.8927129300504191,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-12,3,0.8924041679355468,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-13,3,0.893972573656624,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-14,3,0.8920643203581837,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-15,3,0.8935500554055544,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-18,3,0.8985449955618197,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-19,3,0.8981690931209179,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-20,3,0.8953894172192006,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-21,3,0.8943799899285944,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-22,3,0.8943815653339477,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-25,3,0.8908731945145352,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-26,3,0.8928934127929634,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-27,3,0.891375259785433,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-28,3,0.8898467501214025,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-29,3,0.8905228157090783,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-02,3,0.893370828534569,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-03,3,0.8925028829317473,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-04,3,0.8942908096279047,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,3,0.8957891443444219,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-06,3,0.8954362084631092,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,3,0.8920271061764593,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-10,3,0.8917994037030048,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-11,3,0.8898213233716077,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-12,3,0.8894192651471056,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-13,3,0.8898254144429885,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-16,3,0.8965344765924219,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-17,3,0.8959948167985263,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-18,3,0.8964536039285227,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-19,3,0.8953614145693736,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-20,3,0.89610728980244,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,3,0.8985434519685995,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-24,3,0.8978647398202851,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-25,3,0.8976279845448543,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-26,3,0.8965426243949761,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-27,3,0.8959478604078608,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-30,3,0.8953605311018105,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,3,0.8974138809169276,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,3,0.8964833339095164,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02,3,0.8978728190307859,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-03,3,0.8984092109146189,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-06,3,0.8956741600929123,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-07,3,0.8950749185434801,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-08,3,0.89551619018772,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-09,3,0.8927116299561814,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-10,3,0.8923299921077303,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13,3,0.8956025174090085,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14,3,0.8957518674789944,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-15,3,0.8959355242037961,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-16,3,0.8958973195469855,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-17,3,0.8957695739906584,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-20,3,0.8944156464308783,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-21,3,0.8954498776427049,0.0,0.0,0.0,0.0,0.0,0.0
