date,symbol,score,future_return_1d,direction_up_1d,score_percentile,prob_up,predicted_direction,horizon_days,future_return_5d,direction_up_5d,future_return_20d,direction_up_20d,future_return_60d,direction_up_60d
2021-01-04,300308,0.0,0.03980769230769221,1.0,0.5555555555555556,0.5,1,1,,,,,,
2021-01-05,300308,0.0,-0.011651562788977166,0.0,0.5555555555555556,1.0,1,1,,,,,,
2021-01-06,300308,0.0,-0.01553143712574867,0.0,0.5555555555555556,0.6666666666666666,1,1,,,,,,
2021-01-07,300308,0.0,0.03915605398213273,1.0,0.5555555555555556,0.5185185185185185,1,1,,,,,,
2021-01-08,300308,0.0,0.042619352478507455,1.0,0.5555555555555556,0.5555555555555556,1,1,,,,,,
2021-01-11,300308,0.06666666666666667,-0.008771929824561542,0.0,0.4444444444444444,0.6222222222222222,1,1,,,,,,
2021-01-12,300308,0.08333333333333333,-0.005309734513274322,0.0,0.5555555555555556,0.6666666666666666,1,1,,,,,,
2021-01-13,300308,0.09999999999999999,0.007829181494662052,1.0,0.6666666666666666,0.6349206349206349,1,1,,,,,,
2021-01-14,300308,0.11666666666666667,-0.022951977401129975,0.0,0.7777777777777778,0.6388888888888888,1,1,,,,,,
2021-01-15,300308,0.11666666666666667,0.03451391398626669,1.0,0.7777777777777778,0.7592592592592593,1,1,,,,,,
2021-01-18,300308,0.18888888888888888,-0.014847161572052348,0.0,0.8333333333333334,0.8055555555555557,1,1,,,,,,
2021-01-19,300308,0.1388888888888889,0.010638297872340496,1.0,0.5555555555555556,0.5858585858585859,1,1,,,,,,
2021-01-20,300308,0.17777777777777778,-0.0235087719298247,0.0,0.2222222222222222,0.4466763899938125,0,1,,,,,,
2021-01-21,300308,0.18666666666666665,0.007905138339920903,1.0,0.7777777777777778,0.6453259104616098,1,1,,,,,,
2021-01-22,300308,0.2588888888888889,-0.06327985739750441,0.0,0.8888888888888888,0.6593485879200165,1,1,,,,,,
2021-01-25,300308,0.24555555555555553,0.004757373929590747,1.0,0.7777777777777778,0.5991714586038459,1,1,,,,,,
2021-01-26,300308,0.21555555555555556,0.0007575757575759567,1.0,0.6666666666666666,0.5564934243803743,1,1,,,,,,
2021-01-27,300308,0.2177777777777778,-0.027819833459500454,0.0,0.6666666666666666,0.5420700500877218,1,1,,,,,,
2021-01-28,300308,0.2188888888888889,0.008370644344948497,1.0,0.6666666666666666,0.5124407676825307,1,1,,,,,,
2021-01-29,300308,0.19000000000000003,0.026640926640926654,1.0,0.4444444444444444,0.46452195247753864,0,1,,,,,,
2021-02-01,300308,0.24222222222222223,0.007897705904475583,1.0,0.2222222222222222,0.4315906562847608,0,1,,,,,,
2021-02-02,300308,0.32111111111111107,-0.06063432835820903,0.0,0.4444444444444444,0.48238906268103343,0,1,,,,,,
2021-02-03,300308,0.2544444444444445,-0.02025819265143991,0.0,0.2222222222222222,0.4126835363948765,0,1,,,,,,
2021-02-04,300308,0.26555555555555554,-0.03689438475572682,0.0,0.1111111111111111,0.3751452970779328,0,1,,,,,,
2021-02-05,300308,0.3155555555555556,0.008208798147758545,1.0,0.3333333333333333,0.4100241545893719,0,1,,,,,,
2021-02-08,300308,0.28555555555555556,0.01732776617954057,1.0,0.3333333333333333,0.42966485885134187,0,1,,,,,,
2021-02-09,300308,0.2788888888888889,0.03550174430535602,1.0,0.3333333333333333,0.44775017063455674,0,1,,,,,,
2021-02-10,300308,0.23333333333333334,0.019817677368212383,1.0,0.1111111111111111,0.4257784519445498,0,1,,,,,,
2021-02-18,300308,0.29333333333333333,-0.0011659541391372263,0.0,0.3888888888888889,0.4931818574364821,0,1,,,,,,
2021-02-19,300308,0.25555555555555554,-0.035019455252918275,0.0,0.2222222222222222,0.4769209044063966,0,1,,,,,,
2021-02-22,300308,0.2822222222222222,-0.011088709677419484,0.0,0.1111111111111111,0.4459921871136823,0,1,,,,,,
2021-02-23,300308,0.2677777777777777,-0.0016309887869521145,0.0,0.1111111111111111,0.4350398682255072,0,1,,,,,,
2021-02-24,300308,0.24888888888888888,-0.02368797222789465,0.0,0.1111111111111111,0.4470840200521906,0,1,,,,,,
2021-02-25,300308,0.2966666666666667,-0.039949801296799814,0.0,0.2222222222222222,0.44551594611189366,0,1,,,,,,
2021-02-26,300308,0.3277777777777778,0.014161220043573008,1.0,0.5555555555555556,0.477124183006536,0,1,,,,,,
2021-03-01,300308,0.38555555555555554,-0.042749731471535934,0.0,0.5555555555555556,0.4920634920634921,0,1,,,,,,
2021-03-02,300308,0.3233333333333333,-0.0026929982046678402,0.0,0.5555555555555556,0.49382716049382713,0,1,,,,,,
2021-03-03,300308,0.3233333333333333,-0.029927992799280045,0.0,0.4444444444444444,0.49472360786229397,0,1,,,,,,
2021-03-04,300308,0.3322222222222222,-0.007190906982138756,0.0,0.5555555555555556,0.49122807017543857,0,1,,,,,,
2021-03-05,300308,0.3133333333333333,-0.04696261682242986,0.0,0.4444444444444444,0.48266833301180695,0,1,,,,,,
2021-03-08,300308,0.2777777777777778,-0.039715616572689405,0.0,0.4444444444444444,0.4729292447833916,0,1,,,,,,
2021-03-09,300308,0.28,0.0005105948429922069,1.0,0.4444444444444444,0.4654502939839408,0,1,,,,,,
2021-03-10,300308,0.3111111111111111,0.006379178361826998,1.0,0.5555555555555556,0.47619047619047616,0,1,,,,,,
2021-03-11,300308,0.30666666666666664,-0.024340770791074995,0.0,0.6666666666666666,0.49890765052984054,0,1,,,,,,
2021-03-12,300308,0.3255555555555556,-0.02079002079002079,0.0,0.6666666666666666,0.48753791119060585,0,1,,,,,,
2021-03-15,300308,0.31444444444444447,-0.007430997876857748,0.0,0.5555555555555556,0.4666666666666667,0,1,,,,,,
