model_type,horizon_days,theme,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status,theme_source
ensemble,1,agriculture_food_beverage,204,2,0.5294117647058824,0.5588235294117647,0.5350877192982456,0.5350877192982456,0.251682401577523,0.251682401577523,0.07778076351097013,0.07778076351097013,,,0.0,0.0,0.0727686160468134,0.002616040460004354,0.005385454184080851,0.002097361127467927,0.0032880930566129237,ok,curated_hot_theme_seed
ensemble,1,central_soe_high_dividend,102,1,0.38235294117647056,0.6764705882352942,0.512955643390426,0.512955643390426,0.26905700407748845,0.26905700407748845,0.2213675259178322,0.2213675259178322,,,0.0,0.0,0.2229682883310027,-0.007472719253592142,0.0007769339943069854,-0.013223603947975424,0.01400053794228241,ok,curated_hot_theme_seed
ensemble,1,high_dividend_state_owned_finance,204,2,0.47549019607843135,0.6029411764705882,0.4768643982736124,0.4768643982736124,0.25572807812630804,0.25572807812630804,0.11303760467078677,0.11303760467078677,,,0.0,0.0,-0.017489731647869097,-0.0032110166971378003,-0.005828558231613218,-0.005391158473189302,-0.0004373997584239163,weak_or_failed,curated_hot_theme_seed
ensemble,1,home_appliance_export,102,1,0.4803921568627451,0.6470588235294118,0.4612794612794613,0.4612794612794613,0.25130788646727603,0.25130788646727603,0.14221711130858317,0.14221711130858317,,,0.0,0.0,-0.13014261383746556,0.003916813905839467,2.9168835610776515e-05,0.009869558832416758,-0.009840389996805981,weak_or_failed,curated_hot_theme_seed
ensemble,1,metals_energy_metals,20851,19,0.5094240084408421,0.501510718910364,0.5179147480075869,0.5179147480075869,0.2522602837749317,0.2522602837749317,0.03534913235831395,0.03534913235831395,,,0.0,0.0,0.0252846176966881,0.0015555277640949428,0.0017337234693928574,0.0013028843349625649,0.00043083913443029255,ok,curated_hot_theme_seed
ensemble,1,power_solid_state_battery,204,2,0.4852941176470588,0.5882352941176471,0.45615079365079364,0.45615079365079364,0.2539722027399302,0.2539722027399302,0.0877286798484901,0.0877286798484901,,,0.0,0.0,-0.0912825533579049,0.004444382657925335,-0.0013035523000307168,0.0014065167181474612,-0.002710069018178178,weak_or_failed,curated_hot_theme_seed
ensemble,1,tourism_retail_services,102,1,0.5980392156862745,0.6470588235294118,0.6115319865319865,0.6115319865319865,0.24504901801416828,0.24504901801416828,0.15297024783738386,0.15297024783738386,,,0.0,0.0,0.1663565058610868,0.004866462115219987,0.009438875440467263,0.0004964628818091523,0.00894241255865811,ok,curated_hot_theme_seed
ensemble,1,unmapped_theme,1200,2,0.5216666666666666,0.5083333333333333,0.5352681300361212,0.5352681300361212,0.25053481116481113,0.25053481116481113,0.030225577564334086,0.030225577564334086,,,0.0,0.0,0.06357796277814078,0.0016622694326835555,0.0019776708539660254,0.0005425673351863748,0.0014351035187796506,ok,curated_hot_theme_seed
ensemble,5,agriculture_food_beverage,180,2,0.4666666666666667,0.75,0.47761316872427984,0.47761316872427984,0.2563518955941315,0.2563518955941315,0.2529095967464229,0.2529095967464229,,,0.0,0.0,-0.12284007175493643,0.014091979578422162,0.006029530675856296,0.019005783544784376,-0.01297625286892808,weak_or_failed,curated_hot_theme_seed
ensemble,5,central_soe_high_dividend,90,1,0.23333333333333334,0.8666666666666667,0.5833333333333334,0.5833333333333334,0.31043648729909673,0.31043648729909673,0.44195405227150236,0.44195405227150236,,,0.0,0.0,0.09331764179751614,-0.03141654859704184,-0.03085233982990626,-0.03549849451916077,0.004646154689254507,ok,curated_hot_theme_seed
