trade_date,symbol,side,shares,price,order_value,target_weight
2025-12-31,002938,BUY,1100,146.33294323084948,160966.23755393442,0.16666666666666669
2025-12-31,300347,BUY,1400,139.24674802026496,194945.44722837093,0.2
2025-12-31,600845,BUY,1600,19.931006143795727,31889.609830073165,0.033333333333333326
2025-12-31,601088,BUY,1900,87.01560517005063,165329.6498230962,0.16666666666666669
2025-12-31,601877,BUY,100,219.39330178726848,21939.33017872685,0.033333333333333326
2025-12-31,603882,BUY,4600,43.31800300232938,199262.81381071513,0.2
2025-12-31,688333,BUY,100,177.83062460341193,17783.062460341192,0.033333333333333326
2025-12-31,688409,BUY,800,188.39822670969983,150718.58136775985,0.16666666666666669
