model_type,horizon_days,industry,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status,industry_source
factor_score,5,theme_proxy:cpo_optical_module_datacenter,928,1,0.5366379310344828,0.5754310344827587,0.5432137493108234,0.5626746706211144,0.24764519415075667,0.24643394455674297,0.0661632302770325,0.06540262990711168,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,0.3566810344827586,0.11573915223220838,0.02020029412386087,0.038775262653502854,0.006547048382339031,0.032228214271163826,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:cxo_biotech_innovative_drug,928,1,0.4849137931034483,0.5398706896551724,0.47533504419731964,0.48807303425935017,0.2568279078491945,0.25625893052423104,0.04048035917176626,0.049023859315715436,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,0.3566810344827586,-0.06880725903474054,0.009821367974664276,0.008001419162857454,0.014471720838917549,-0.0064703016760600945,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:data_element_fintech_ai_app,4969,5,0.4632722881867579,0.5244515999195009,0.4462394961463,0.44766902382567786,0.2591405704152066,0.25928968763404936,0.03976091215699283,0.03712490418610489,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.619105199516324,0.3328637552827531,-0.09225464945671805,0.00017429117876739946,-0.007906427389694059,0.008617469263204537,-0.016523896652898596,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:datacenter_optical_liquid_cooling,5568,6,0.4969468390804598,0.5287356321839081,0.4971562018450093,0.4882984667036718,0.2536025254349976,0.2554172670981263,0.03824140730149113,0.046599451570060874,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,0.3566810344827586,0.014800418321614555,0.011046529476452316,0.014040676566049197,0.003974574165615794,0.010066102400433402,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:defense_ship_equipment,8352,9,0.5050287356321839,0.5111350574712644,0.5097985826657182,0.5081737135510997,0.25282996216044945,0.253063279565288,0.02409331119604519,0.02450513345719297,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,0.3566810344827586,0.005379818686249284,0.003990199498672548,0.015594690538215111,0.0037275185709283554,0.011867171967286755,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:education_human_capital,6821,7,0.493915848116112,0.545227972438059,0.49471803790769653,0.4978687344285509,0.252929437352074,0.2522795769581907,0.032048084089306886,0.02762156745214545,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6192739844425238,0.33924644480281485,-0.044783359782690046,-0.000991248693669005,-0.0039276306432050176,0.002884633183787306,-0.006812263826992323,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:high_dividend_state_owned_finance,1856,2,0.45851293103448276,0.5323275862068966,0.4314568602026157,0.4455814240937331,0.2585288265815044,0.257984133609885,0.03144873358838491,0.035227381400379926,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,0.3566810344827586,-0.11347220528885175,0.00378696604115109,-0.0007688844525362896,0.015038699164384377,-0.015807583616920667,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:home_appliance_export,10539,11,0.46569883290634784,0.5001423284941645,0.46241429048242794,0.4609666695333141,0.2575642024999158,0.25821775742580527,0.018624333803708273,0.026479184261711763,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,0.3454786981687067,-0.07364732930078466,0.0011343911748294432,-0.00178057335914234,0.0055919745097955855,-0.007372547868937925,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:humanoid_robot_core_parts,4630,5,0.536501079913607,0.5058315334773218,0.5298532461347363,0.5228493218992792,0.25063636139825013,0.25164575403139067,0.01460229008736476,0.021671559296383584,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6212121212121212,0.3563714902807775,0.041452156693723256,0.005802915821903422,0.007258773819666122,-0.0005427887153459939,0.007801562535012116,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:industrial_mother_machine_laser,1856,2,0.48760775862068967,0.521551724137931,0.4725279902836721,0.46679440287394836,0.2570302805169333,0.2590057958836987,0.047435061088530066,0.058476237736087164,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,0.3566810344827586,-0.019449835947290786,0.011222082176469009,0.009885676658672939,0.002580065951189127,0.007305610707483812,ok,curated_hot_theme_proxy_not_historical_industry
