model_type,horizon_days,regime_source,market_regime,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status
ensemble,1,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,6267,30,0.704483804052976,0.8635710866443275,0.5359871716739496,0.5359871716739496,0.22911262325702741,0.22911262325702741,0.33101298127255724,0.33101298127255724,,,0.0,0.0,0.03660471719038237,-0.017132056148661534,-0.018611014700433234,-0.01844266766825002,-0.00016834703218321367,ok
ensemble,1,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,4818,30,0.33042756330427564,0.8561643835616438,0.4971134723861997,0.4971134723861997,0.2714653151493818,0.2714653151493818,0.38084789022193993,0.38084789022193993,,,0.0,0.0,0.03181783955863988,0.01809284152907143,0.0188118046415407,0.016963776728498223,0.001848027913042477,ok
ensemble,1,ex_post_oos_forward_return_for_evaluation_only,high_volatility,5689,30,0.45245210054491125,0.5749692388820531,0.4802762022020215,0.4802762022020215,0.2611797238689269,0.2611797238689269,0.11293737957155182,0.11293737957155182,,,0.0,0.0,-0.048728371657166786,0.008190128566676119,0.0050233624304972775,0.012410075262440015,-0.007386712831942738,weak_or_failed
ensemble,1,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,6195,30,0.5036319612590799,0.5218724778046812,0.5194015943365943,0.5194015943365943,0.25250929602075434,0.25250929602075434,0.053442381982638364,0.053442381982638364,,,0.0,0.0,0.017711931722311378,0.00144465414193097,0.002263929164176922,0.0013810123127792825,0.0008829168513976395,ok
ensemble,5,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,5806,30,0.6341715466758525,0.7791939373062349,0.5360555801542407,0.5360555801542407,0.23200174916379582,0.23200174916379582,0.23797739924633907,0.23797739924633907,,,0.0,0.0,0.07878596221779895,-0.026152314148530267,-0.023546932917426495,-0.03242751106532647,0.008880578147899977,ok
ensemble,5,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,3970,30,0.37934508816120904,0.8254408060453401,0.5008837668282282,0.5008837668282282,0.2816070234277263,0.2816070234277263,0.36036845995285344,0.36036845995285344,,,0.0,0.0,-0.0974596756638758,0.03732941756256988,0.02992588790702405,0.04651019162990233,-0.01658430372287828,weak_or_failed
ensemble,5,ex_post_oos_forward_return_for_evaluation_only,high_volatility,6588,30,0.4872495446265938,0.575591985428051,0.5475285293034655,0.5475285293034655,0.26375590921994985,0.26375590921994985,0.1398384497195384,0.1398384497195384,,,0.0,0.0,0.08345845766018299,0.01985332998457489,0.03339633136155499,0.018269275805597573,0.015127055555957416,ok
ensemble,5,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,6325,30,0.486798418972332,0.5631620553359684,0.5216964752200968,0.5216964752200968,0.2608775443156013,0.2608775443156013,0.11424271780226312,0.11424271780226312,,,0.0,0.0,0.03671625531754703,0.008262487440902778,0.008556244387904413,0.008665015709577981,-0.00010877132167356855,ok
ensemble,20,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,5750,30,0.6203478260869565,0.8241739130434783,0.5223346104853366,0.5223346104853366,0.23610992030341993,0.23610992030341993,0.2746316173285658,0.2746316173285658,,,0.0,0.0,0.11894337272157877,-0.059525978526606356,-0.051194582620535216,-0.08034003024228416,0.029145447621748942,ok
ensemble,20,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,4209,30,0.3955808980755524,0.9177952007602757,0.5402974566773255,0.5402974566773255,0.30884043603706696,0.30884043603706696,0.46783492886500666,0.46783492886500666,,,0.0,0.0,0.08608641009316802,0.11639983722704059,0.12961843809365914,0.11436039841808299,0.015258039675576152,ok
