date,symbol,score,future_return_1d,direction_up_1d,score_percentile,prob_up,predicted_direction,horizon_days,future_return_5d,direction_up_5d,future_return_20d,direction_up_20d,future_return_60d,direction_up_60d
2020-03-23,600362,0.4109999999999999,0.033634126333059955,1.0,0.95,0.47800639651672544,0,1,,,,,,
2020-03-24,600362,0.37949999999999995,0.021428571428571352,1.0,0.85,0.4838156537716959,0,1,,,,,,
2020-03-25,600362,0.4059999999999999,-0.01476301476301467,0.0,0.9,0.49558040452844376,0,1,,,,,,
2020-03-26,600362,0.32800000000000007,0.001577287066246047,1.0,0.65,0.4801025888924696,0,1,,,,,,
2020-03-27,600362,0.27549999999999997,-0.018897637795275535,0.0,0.55,0.4763794548435037,0,1,,,,,,
2020-03-30,600362,0.28600000000000014,0.013643659711075395,1.0,0.55,0.46787105775326954,0,1,,,,,,
2020-03-31,600362,0.26850000000000007,-0.004750593824227933,0.0,0.5,0.4703079061151208,0,1,,,,,,
2020-04-01,600362,0.30400000000000005,0.012728719172633074,1.0,0.6,0.47520201740992085,0,1,,,,,,
2020-04-02,600362,0.26,-0.0054988216810683,0.0,0.5,0.47781292608604226,0,1,,,,,,
2020-04-03,600362,0.3095000000000001,0.03949447077409163,1.0,0.5,0.47295052158101253,0,1,,,,,,
2020-04-07,600362,0.2700000000000001,0.0075987841945288626,1.0,0.3,0.47858343644401435,0,1,,,,,,
2020-04-08,600362,0.29250000000000004,-0.009049773755655965,0.0,0.35,0.479466203354791,0,1,,,,,,
2020-04-09,600362,0.25950000000000006,-0.0053272450532724225,0.0,0.25,0.47434582690504284,0,1,,,,,,
2020-04-10,600362,0.297,0.023718439173680217,1.0,0.3,0.4683191838828492,0,1,,,,,,
2020-04-13,600362,0.3655000000000001,0.011958146487294652,1.0,0.55,0.4736095512523269,0,1,,,,,,
2020-04-14,600362,0.314,-0.028064992614475703,0.0,0.35,0.477393335372885,0,1,,,,,,
2020-04-15,600362,0.324,-0.0075987841945288626,0.0,0.4,0.47369377869002166,0,1,,,,,,
2020-04-16,600362,0.3145,0.0022970903522205877,1.0,0.35,0.4681571387849985,0,1,,,,,,
2020-04-17,600362,0.43100000000000005,0.0007639419404126269,1.0,0.65,0.4745198582549337,0,1,,,,,,
2020-04-20,600362,0.48149999999999993,-0.016030534351144987,0.0,0.7,0.47299619402380755,0,1,,,,,,
2020-04-21,600362,0.47250000000000003,-0.0015515903801397446,0.0,0.75,0.4687499508575498,0,1,,,,,,
2020-04-22,600362,0.395,-0.00543900543900544,0.0,0.6,0.46439392238944444,0,1,,,,,,
2020-04-23,600362,0.41700000000000004,-0.010156249999999978,0.0,0.7,0.4643260377886664,0,1,,,,,,
2020-04-24,600362,0.445,0.0047355958958168465,1.0,0.7,0.4642108521633815,0,1,,,,,,
2020-04-27,600362,0.46200000000000013,-0.01492537313432829,0.0,0.7,0.45997795728956303,0,1,,,,,,
2020-04-28,600362,0.42349999999999993,-0.0023923444976078345,0.0,0.6,0.4524399002685592,0,1,,,,,,
2020-04-29,600362,0.35899999999999993,0.0231814548361311,1.0,0.45,0.448720965307564,0,1,,,,,,
2020-04-30,600362,0.3944999999999999,0.008593749999999956,1.0,0.6,0.46044256005628864,0,1,,,,,,
