date,symbol,distance,horizon_days,future_return
2026-06-09,601899,6.998793612107167,1,-0.027046013347383213
2026-06-08,601899,7.566118583727924,1,0.014973262032085488
2026-06-05,601899,9.112327410468842,1,-0.05332433344583187
2026-05-20,601899,9.612635044627355,1,-0.013162224415926405
2026-05-20,601899,9.612635044627355,5,0.040473840078973256
2026-05-28,601899,10.789887429850062,1,-0.008791924454574995
2026-05-28,601899,10.789887429850062,5,-0.012048192771084376
2026-06-04,601899,11.169085606544535,1,-0.0234014502307186
2026-05-21,601899,11.420174750270062,1,0.03234411470490173
2026-05-21,601899,11.420174750270062,5,0.024008002667555983
2026-06-01,601899,11.659735630929498,1,0.04604173567406411
2026-06-01,601899,11.659735630929498,5,-0.07088439880755215
2026-05-18,601899,11.724948411673346,1,-0.004472843450479269
2026-05-18,601899,11.724948411673346,5,0.0015974440894568342
2026-05-22,601899,11.945678849807273,1,0.012596899224806224
2026-05-22,601899,11.945678849807273,5,-0.01679586563307489
2026-05-29,601899,12.114907111472178,1,-0.008212877792378448
2026-05-29,601899,12.114907111472178,5,-0.026609724047306216
2026-05-19,601899,12.192159292599374,1,-0.02471116816431318
2026-05-19,601899,12.192159292599374,5,0.055840821566110366
2026-06-03,601899,12.769532466532523,1,-0.029740965781899553
2026-06-03,601899,12.769532466532523,5,-0.11416693316277582
2026-05-25,601899,12.992749412590872,1,0.0494417862838914
2026-05-25,601899,12.992749412590872,5,-0.0370015948963317
2026-05-27,601899,13.62743797558977,1,-0.028779253636938673
2026-05-27,601899,13.62743797558977,5,-0.0110689437065149
2026-05-15,601899,14.432298129437985,1,-0.016959798994974795
2026-05-15,601899,14.432298129437985,5,-0.027638190954773822
2026-06-02,601899,14.839465338004299,1,-0.00981633945535143
2026-06-02,601899,14.839465338004299,5,-0.09848005066497778
2026-04-30,601899,15.169586656185563,1,0.027327327327327344
2026-04-30,601899,15.169586656185563,5,0.038438438438438416
2026-04-30,601899,15.169586656185563,20,-0.05165165165165164
2024-08-08,601899,15.708122954848418,1,0.015222257724655686
2024-08-08,601899,15.708122954848418,5,0.031105787180582434
2024-08-08,601899,15.708122954848418,20,-0.028457448279143094
2024-08-08,601899,15.708122954848418,60,0.0926544638222988
2024-08-06,601899,15.993678865398577,1,0.00846905537459297
2024-08-06,601899,15.993678865398577,5,0.01907845445250067
2024-08-06,601899,15.993678865398577,20,0.015799566246411656
2024-08-06,601899,15.993678865398577,60,0.12072398884126367
