latest_date,symbol,horizon_days,trust_status,check,status,passed,severity,observed,threshold,reason,model_id,data_version
2026-06-10,601899,20,model_failed,forecast_row_present,pass,True,required,row,present,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,data_version,pass,True,required,3285b4f0f976,non-empty data_version,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,model_version,pass,True,required,model_id=stock_forecast_factor_score_h20; model_type=factor_score,non-empty model_id and model_type,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,probability_outputs,pass,True,required,prob_up=0.49824120074180794; raw=0.5124936792140897; calibrated=0.49824120074180794,"probability fields in [0, 1]",passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,return_interval_outputs,pass,True,required,p10=-0.12790342866749183; p50=0.02016035528070624; p90=0.16822413922890433,finite expected returns and p10 <= p50 <= p90,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,direction_and_trend_labels,pass,True,required,direction=中性; trend=破位,non-empty direction and trend labels,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,risk_flags,pass,True,required,none,non-empty risk_flags,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,factor_contributors,pass,True,required,z:negative_event_count=8.649;z:amount_mean_120=7.903;z:amount_mean_60=6.306;z:amount_mean_40=5.837;z:amount_mean_20=5.122;latest:event_count_3d=11.000;latest:event_count_20d=31.000;latest:positive_event_count=7.000;latest:negative_event_count=14.000;latest:event_impact_score=-0.218,non-empty top_factor_contributors,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,walk_forward_evidence,fail,False,required,model=; status=missing; rows=0,walk_forward model id/status/rows present,trusted prediction evidence requires out-of-sample walk-forward provenance,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,walk_forward_metrics,pass,True,required,auc=0.0; brier=0.0; rank_ic=0.0,AUC/Brier/RankIC fields present and numeric,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,probability_calibration,pass,True,required,status=calibrated; raw_brier=0.25190964615558864; calibrated_brier=0.2499351485442454; raw_ece=0.03125119026312856; calibrated_ece=0.017346747435567633,calibration status plus Brier/ECE fields,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,conformal_interval,pass,True,required,status=conformal_ready; rows=568; half_width=0.14806378394819808,conformal status/rows/interval width present,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,research_no_advice_note,pass,True,required,Research signal only; not investment advice.,contains not investment advice,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,sample_source_warning,pass,True,warning,baostock,source != sample,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,news_raw_events,pass,True,required,event_rows=241,event_rows > 0,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,20,model_failed,news_event_factors,pass,True,required,event_factor_rows=379; event_feature_count=13,event factors and forecast event features present,passed,stock_forecast_factor_score_h20,3285b4f0f976
2026-06-10,601899,60,model_failed,forecast_row_present,pass,True,required,row,present,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,data_version,pass,True,required,3285b4f0f976,non-empty data_version,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,model_version,pass,True,required,model_id=stock_forecast_factor_score_h60; model_type=factor_score,non-empty model_id and model_type,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,probability_outputs,pass,True,required,prob_up=0.5520477324450802; raw=0.5400885952106014; calibrated=0.5520477324450802,"probability fields in [0, 1]",passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,return_interval_outputs,pass,True,required,p10=-0.20147547224733175; p50=0.06531656352474437; p90=0.33210859929682046,finite expected returns and p10 <= p50 <= p90,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,direction_and_trend_labels,pass,True,required,direction=震荡偏多; trend=破位,non-empty direction and trend labels,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,risk_flags,pass,True,required,none,non-empty risk_flags,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,factor_contributors,pass,True,required,z:negative_event_count=8.649;z:amount_mean_120=7.903;z:amount_mean_60=6.306;z:amount_mean_40=5.837;z:amount_mean_20=5.122;latest:event_count_3d=11.000;latest:event_count_20d=31.000;latest:positive_event_count=7.000;latest:negative_event_count=14.000;latest:event_impact_score=-0.218,non-empty top_factor_contributors,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,walk_forward_evidence,fail,False,required,model=; status=missing; rows=0,walk_forward model id/status/rows present,trusted prediction evidence requires out-of-sample walk-forward provenance,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,walk_forward_metrics,pass,True,required,auc=0.0; brier=0.0; rank_ic=0.0,AUC/Brier/RankIC fields present and numeric,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,probability_calibration,pass,True,required,status=calibration_failed; raw_brier=0.2701577840359792; calibrated_brier=0.2676523396149138; raw_ece=0.21693595327705295; calibrated_ece=0.21300334229705342,calibration status plus Brier/ECE fields,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,conformal_interval,pass,True,required,status=conformal_ready; rows=528; half_width=0.2667920357720761,conformal status/rows/interval width present,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,research_no_advice_note,pass,True,required,Research signal only; not investment advice.,contains not investment advice,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,sample_source_warning,pass,True,warning,baostock,source != sample,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,news_raw_events,pass,True,required,event_rows=241,event_rows > 0,passed,stock_forecast_factor_score_h60,3285b4f0f976
2026-06-10,601899,60,model_failed,news_event_factors,pass,True,required,event_factor_rows=379; event_feature_count=13,event factors and forecast event features present,passed,stock_forecast_factor_score_h60,3285b4f0f976
