symbol,side,shares,price,order_value,target_weight,passed,reasons
000001,BUY,77000,2.595151295621404,199826.6497628481,0.2,True,none
000858,BUY,1200,164.84774984821863,197817.29981786234,0.2,True,none
002594,BUY,800,245.04634578413848,196037.07662731077,0.2,True,none
300750,BUY,3700,52.6852537896124,194935.4390215659,0.2,True,none
600519,BUY,1500,125.44649278405376,188169.73917608065,0.2,True,none
