rows,direction_accuracy,baseline_accuracy,brier,rank_ic,top_bucket_return,bottom_bucket_return,beats_baseline,model_status,horizon_days,model_type,trust_status
340,0.4588235294117647,0.5235294117647059,0.2587706847987761,-0.09210578038577963,-0.004043743721870184,0.001233844623667053,False,ok,1,ensemble,data_insufficient
300,0.44333333333333336,0.5866666666666667,0.25603221716482416,-0.017287086729993538,0.00881130512463934,0.0043165843311387874,False,ok,5,ensemble,data_insufficient
150,0.6133333333333333,0.6333333333333333,0.21961192593154796,0.2845441946891505,0.04860215093807555,-0.027748139306273022,True,ok,20,ensemble,data_insufficient
