source,source_url,published_at,symbol,related_symbols,title,summary,quality_flag,event_type,sentiment,impact_score,confidence,audit_source,audit_fetched_at,audit_quality_flag,fetched_at,effective_date,announce_date,audit_raw_hash,raw_hash
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119741&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2026年第一次独立董事专门会议决议,2026年第一次独立董事专门会议决议,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,1714517188958631945,1714517188958631945
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119740&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2025年度董事会工作报告,2025年度董事会工作报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,1853452997453356596,1853452997453356596
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119739&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于确认董事及高级管理人员2025年度薪酬及2026年度薪酬方案的公告,关于确认董事及高级管理人员2025年度薪酬及2026年度薪酬方案的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,14566282579964358315,14566282579964358315
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119738&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2025年度独立董事述职报告（朱明）（已离任）,2025年度独立董事述职报告（朱明）（已离任）,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,12229812560500393543,12229812560500393543
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119737&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2025年度独立董事述职报告（姚禄仕）,2025年度独立董事述职报告（姚禄仕）,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,1067968946060315468,1067968946060315468
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119736&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2025年度独立董事述职报告（汤书昆）,2025年度独立董事述职报告（汤书昆）,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,10290551116182459784,10290551116182459784
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119735&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2025年度独立董事述职报告（尤佳）,2025年度独立董事述职报告（尤佳）,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,16863886888891373798,16863886888891373798
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119734&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于召开2025年度网上业绩说明会的通知公告,关于召开2025年度网上业绩说明会的通知公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,3830593651387865163,3830593651387865163
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119733&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,铜陵有色金属集团股份有限公司2025环境、社会和公司治理（ESG)报告,铜陵有色金属集团股份有限公司2025环境、社会和公司治理（ESG)报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,3699008213994410439,3699008213994410439
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119732&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,内部控制审计报告,内部控制审计报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,10868453023008120065,10868453023008120065
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119731&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2025年度内部控制评价报告,2025年度内部控制评价报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,278784286453219552,278784286453219552
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119730&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,套期保值管理制度,套期保值管理制度,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,4526097955032172715,4526097955032172715
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119729&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于“质量回报双提升”行动方案的进展公告,关于“质量回报双提升”行动方案的进展公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,1289843880589763058,1289843880589763058
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119728&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于2026年向金融机构申请综合授信额度的公告,关于2026年向金融机构申请综合授信额度的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,17317014816679404577,17317014816679404577
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119727&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于同一控制下企业合并追溯调整财务数据的公告,关于同一控制下企业合并追溯调整财务数据的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,6307518829655167772,6307518829655167772
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119726&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于铜陵有色金属集团股份有限公司同一控制下企业合并追溯调整财务报表的专项说明,关于铜陵有色金属集团股份有限公司同一控制下企业合并追溯调整财务报表的专项说明,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,13295597972723471598,13295597972723471598
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119725&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于会计政策变更的公告,关于会计政策变更的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,11254834158450650201,11254834158450650201
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119724&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于计提资产减值准备的公告,关于计提资产减值准备的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,7009546097743565927,7009546097743565927
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119723&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,独立董事候选人声明与承诺（尤佳）,独立董事候选人声明与承诺（尤佳）,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,14255949075699660094,14255949075699660094
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119722&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,独立董事提名人声明与承诺（一）,独立董事提名人声明与承诺（一）,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,3477275255007593800,3477275255007593800
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119721&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,独立董事提名人声明与承诺（二）,独立董事提名人声明与承诺（二）,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,17269257963596043634,17269257963596043634
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119720&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,独立董事提名人声明与承诺（三）,独立董事提名人声明与承诺（三）,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,1406126296735595136,1406126296735595136
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119719&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,独立董事候选人声明与承诺（朱卫东）,独立董事候选人声明与承诺（朱卫东）,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,41985433672430137,41985433672430137
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119718&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,独立董事候选人声明与承诺（汤书昆）,独立董事候选人声明与承诺（汤书昆）,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,13528335187830879819,13528335187830879819
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119717&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于2026年度金融类日常关联交易预计的公告,关于2026年度金融类日常关联交易预计的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,15571972916119673084,15571972916119673084
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119716&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于开展2026年度货币类期货和衍生品套期保值业务的可行性分析报告,关于开展2026年度货币类期货和衍生品套期保值业务的可行性分析报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,11083286854146041710,11083286854146041710
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119715&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于开展2026年度商品类期货和衍生品套期保值业务的可行性分析报告,关于开展2026年度商品类期货和衍生品套期保值业务的可行性分析报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,7262797675604133792,7262797675604133792
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119714&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于开展2026年度货币类期货和衍生品套期保值业务的公告,关于开展2026年度货币类期货和衍生品套期保值业务的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,11427547376581905023,11427547376581905023
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119713&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于开展2026年度商品类期货和衍生品套期保值业务并追认套期保值业务的公告,关于开展2026年度商品类期货和衍生品套期保值业务并追认套期保值业务的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,6384379323819679876,6384379323819679876
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119712&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于召开2025年度股东会的通知,关于召开2025年度股东会的通知,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,8804788575059121095,8804788575059121095
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119711&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,十届二十九次董事会会议决议公告,十届二十九次董事会会议决议公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,502494953570293724,502494953570293724
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119710&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于2025年度利润分配预案的公告,关于2025年度利润分配预案的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,7615374868129131760,7615374868129131760
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119709&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于铜陵有色金属集团财务有限公司的风险评估报告,关于铜陵有色金属集团财务有限公司的风险评估报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,4389899825978932722,4389899825978932722
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119708&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,独立财务顾问关于铜陵有色金属集团股份有限公司发行股份、可转换公司债券及支付现金购买资产并募集配套资金暨关联交易2025年度业绩承诺实现情况的核查意见,独立财务顾问关于铜陵有色金属集团股份有限公司发行股份、可转换公司债券及支付现金购买资产并募集配套资金暨关联交易2025年度业绩承诺实现情况的核查意见,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,3577376775077668985,3577376775077668985
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119707&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于铜陵有色金属集团股份有限公司实际盈利数与盈利预测数差异的鉴证报告,关于铜陵有色金属集团股份有限公司实际盈利数与盈利预测数差异的鉴证报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,4722060164357040526,4722060164357040526
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119706&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于中铁建铜冠投资有限公司2025年度业绩承诺完成情况鉴证报告,关于中铁建铜冠投资有限公司2025年度业绩承诺完成情况鉴证报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,1999987769037173875,1999987769037173875
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119705&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于控股子公司中铁建铜冠2025年度业绩承诺实现情况的公告,关于控股子公司中铁建铜冠2025年度业绩承诺实现情况的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,9762043390638763687,9762043390638763687
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119704&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于会计师事务所2025年度履职情况的评估报告,关于会计师事务所2025年度履职情况的评估报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,14765096779780383758,14765096779780383758
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119703&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2025年度审计委员会履职暨对会计师事务所履行监督职责的总结报告,2025年度审计委员会履职暨对会计师事务所履行监督职责的总结报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,14736622835785102449,14736622835785102449
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119702&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,非经营性资金占用及其他关联资金往来情况的专项审计说明,非经营性资金占用及其他关联资金往来情况的专项审计说明,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,8949572219024165535,8949572219024165535
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119701&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2025年度非经营性资金占用及其他关联资金往来情况汇总表,2025年度非经营性资金占用及其他关联资金往来情况汇总表,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,16253560390888714977,16253560390888714977
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119700&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,董事会关于独立董事独立性自查情况的专项报告,董事会关于独立董事独立性自查情况的专项报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,10131600053461769732,10131600053461769732
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119699&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2025年年度审计报告,2025年年度审计报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,1597276618901044757,1597276618901044757
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119697&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2025年年度报告,2025年年度报告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,7717675610499477700,7717675610499477700
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119696&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,2025年年度报告摘要,2025年年度报告摘要,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,500933818180093393,500933818180093393
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224956479&orgId=gssz0000630&announcementTime=2026-01-30 00:00:00,2026-01-30 00:00:00,000630,000630,股票交易异常波动公告,股票交易异常波动公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,1974836739897107167,1974836739897107167
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224950548&orgId=gssz0000630&announcementTime=2026-01-27 00:00:00,2026-01-27 00:00:00,000630,000630,股票交易异常波动公告,股票交易异常波动公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,11789774271539863663,11789774271539863663
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224913878&orgId=gssz0000630&announcementTime=2026-01-05 00:00:00,2026-01-05 00:00:00,000630,000630,关于控股子公司项目延期的公告,关于控股子公司项目延期的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,7968313996695282319,7968313996695282319
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224907663&orgId=gssz0000630&announcementTime=2025-12-31 00:00:00,2025-12-31 00:00:00,000630,000630,关于选举第十届董事会职工董事的公告,关于选举第十届董事会职工董事的公告,ok,,,,,akshare,2026-06-12T20:38:47,raw_event,2026-06-12T20:38:47,2026-06-12 20:38:47,,3278646142117005696,3278646142117005696
