date,symbol,score,future_return_1d,direction_up_1d,score_percentile,prob_up,predicted_direction,horizon_days,future_return_5d,direction_up_5d,future_return_20d,direction_up_20d
2020-03-26,300750,0.31099999999999994,-0.007690378667558284,0.0,0.5,0.47741524472127117,0,1,,,,
2020-03-27,300750,0.33699999999999997,0.005054334091483259,1.0,0.8,0.4536297488589509,0,1,,,,
2020-03-30,300750,0.32699999999999996,0.009052049283379437,1.0,0.9,0.4531701206047223,0,1,,,,
2020-03-31,300750,0.274,8.306337735697333e-05,1.0,0.4,0.46683647895248326,0,1,,,,
2020-04-01,300750,0.333,0.02657807308970095,1.0,0.8,0.46669296930482135,0,1,,,,
2020-04-02,300750,0.3870000000000001,-0.021035598705501646,0.0,0.9,0.4682629259890178,0,1,,,,
2020-04-03,300750,0.5130000000000002,0.03057851239669418,1.0,0.9,0.46072216097023155,0,1,,,,
2020-04-07,300750,0.5210000000000001,-0.013632718524458687,0.0,0.9,0.4695838177993556,0,1,,,,
2020-04-08,300750,0.5290000000000001,-0.022682926829268313,0.0,0.9,0.46029169526424163,0,1,,,,
2020-04-09,300750,0.43500000000000016,-0.014557857083437264,0.0,0.8,0.4615156116462964,0,1,,,,
2020-04-10,300750,0.507,-0.031825088637514765,0.0,0.9,0.45100044964028774,0,1,,,,
2020-04-13,300750,0.525,0.10000871915598575,1.0,0.9,0.4514043611769736,0,1,,,,
2020-04-14,300750,0.5400000000000001,0.014584654407101993,1.0,0.9,0.4597310078920417,0,1,,,,
2020-04-15,300750,0.5920000000000002,0.03867187500000013,1.0,0.9,0.46504251359340226,0,1,,,,
2020-04-16,300750,0.5780000000000002,0.030086498683715712,1.0,0.9,0.4668247183377683,0,1,,,,
2020-04-17,300750,0.5890000000000002,-0.017816721431179405,0.0,1.0,0.46257079892076697,0,1,,,,
2020-04-20,300750,0.5250000000000002,-0.02966322206527383,0.0,0.8,0.4742577292110874,0,1,,,,
2020-04-21,300750,0.4890000000000001,0.00252834814587799,1.0,0.7,0.47838283721622343,0,1,,,,
2020-04-22,300750,0.439,-0.007260221627818142,0.0,0.7,0.4810570638511815,0,1,,,,
2020-04-23,300750,0.45,0.013779830638953161,1.0,0.7,0.47787916767445787,0,1,,,,
2020-04-24,300750,0.527,0.016857772040397734,1.0,1.0,0.4732373290770338,0,1,,,,
2020-04-27,300750,0.5120000000000001,0.03278321260548145,1.0,0.9,0.47399826749826746,0,1,,,,
2020-04-28,300750,0.46900000000000003,0.0030368763557482303,1.0,0.8,0.4797666886920093,0,1,,,,
2020-04-29,300750,0.437,0.040801614763552374,1.0,0.6,0.4787221452961726,0,1,,,,
2020-04-30,300750,0.4640000000000001,0.009765895553400572,1.0,0.7,0.4869826908700569,0,1,,,,
2020-05-06,300750,0.4830000000000001,-0.01776527882570811,0.0,0.8,0.49045125275381796,0,1,,,,
2020-05-07,300750,0.4510000000000002,0.0061452513966480105,1.0,0.8,0.4881063545961678,0,1,,,,
2020-05-08,300750,0.507,-0.044836202109938994,0.0,0.7,0.4894054098777252,0,1,,,,
2020-05-11,300750,0.44600000000000006,0.01002761226565907,1.0,0.7,0.4856404095578872,0,1,,,,
2020-05-12,300750,0.5040000000000001,-0.00532374100719446,0.0,0.7,0.4906724847149793,0,1,,,,
2020-05-13,300750,0.5100000000000001,-0.019239114711413152,0.0,0.7,0.48959189938927444,0,1,,,,
2020-05-14,300750,0.5220000000000002,0.07286135693215345,1.0,0.9,0.4883043094454698,0,1,,,,
2020-05-15,300750,0.49800000000000016,-0.02522683530382186,0.0,0.8,0.4919277483866812,0,1,,,,
2020-05-18,300750,0.5700000000000002,0.010224948875255713,1.0,1.0,0.4890807147446685,0,1,,,,
2020-05-19,300750,0.519,0.04216110568197684,1.0,0.8,0.49210630300373887,0,1,,,,
2020-05-20,300750,0.5622222222222222,-0.012324179504353605,0.0,0.8888888888888888,0.49570457168181753,0,1,,,,
2020-05-21,300750,0.53,-0.03153397531533986,0.0,0.7777777777777778,0.4939347771772307,0,1,,,,
2020-05-22,300750,0.5499999999999998,0.010433443036202084,1.0,0.8888888888888888,0.4905577342710861,0,1,,,,
2020-05-25,300750,0.5733333333333333,0.03970893970893963,1.0,1.0,0.49516696963470547,0,1,,,,
2020-05-26,300750,0.5955555555555555,0.009798040391921559,1.0,1.0,0.5002211052339207,1,1,,,,
2020-05-27,300750,0.5266666666666665,-0.02415841584158418,0.0,0.7777777777777778,0.4994533839816009,0,1,,,,
2020-05-28,300750,0.5755555555555555,-0.015625,0.0,0.8888888888888888,0.4978023794654594,0,1,,,,
2020-05-29,300750,0.4790000000000001,0.037243180100323015,1.0,0.7,0.49491008860467983,0,1,,,,
2020-06-01,300750,0.529,-0.009870818151705985,0.0,1.0,0.5056550122427378,1,1,,,,
2020-06-02,300750,0.4749999999999999,-0.00642312324367722,0.0,0.8,0.4995018760799186,0,1,,,,
2020-06-03,300750,0.432,0.011598804304204569,1.0,0.7,0.4976684173507169,0,1,,,,
2020-06-04,300750,0.4509999999999999,0.008000000000000007,1.0,0.7,0.5012355850973571,1,1,,,,
2020-06-05,300750,0.4070000000000001,0.001322751322751392,1.0,0.6,0.5028271960414146,1,1,,,,
2020-06-08,300750,0.5460000000000002,0.016908850726552238,1.0,0.9,0.5059959278841448,1,1,,,,
2020-06-09,300750,0.482,0.01766692647440893,1.0,0.7,0.5076633846923643,1,1,,,,
2020-06-10,300750,0.455,0.046591779423027946,1.0,0.7,0.5096643371775645,1,1,,,,
2020-06-11,300750,0.4980000000000001,-0.028540065861690445,0.0,0.9,0.5120009347236684,1,1,,,,
2020-06-12,300750,0.4890000000000002,-0.010043942247332072,0.0,0.7,0.5055023391922653,1,1,,,,
2020-06-15,300750,0.45499999999999996,0.014584654407101993,1.0,0.8,0.5039351637248081,1,1,,,,
2020-06-16,300750,0.42299999999999993,-0.013749999999999929,0.0,0.6,0.5073007265851078,1,1,,,,
2020-06-17,300750,0.43500000000000005,0.00728770595690742,1.0,0.7,0.504074180012505,1,1,,,,
2020-06-18,300750,0.4179999999999999,0.043724441648317125,1.0,0.7,0.5074757616226455,1,1,,,,
2020-06-19,300750,0.396,-0.005424954792043524,0.0,0.6,0.51092785022796,1,1,,,,
2020-06-22,300750,0.32300000000000006,0.023575757575757583,1.0,0.3,0.509669664530031,1,1,,,,
2020-06-23,300750,0.44000000000000006,0.015453845698383706,1.0,0.9,0.5189428666185009,1,1,,,,
2020-06-24,300750,0.43099999999999994,-0.002682215743440297,0.0,0.8,0.5172043908144583,1,1,,,,
2020-06-29,300750,0.45099999999999996,0.01941066417212345,1.0,0.7,0.5146343450846901,1,1,,,,
2020-06-30,300750,0.43099999999999994,-0.028446891488873582,0.0,0.7,0.5171064810301814,1,1,,,,
2020-07-01,300750,0.38100000000000006,-0.012987012987013102,0.0,0.5,0.5129129115677313,1,1,,,,
2020-07-02,300750,0.38600000000000007,0.0023923444976077235,1.0,0.6,0.5149657976841286,1,1,,,,
2020-07-03,300750,0.448,0.06085918854415273,1.0,0.7,0.5190067630136082,1,1,,,,
2020-07-06,300750,0.48800000000000004,0.10000000000000009,1.0,0.7,0.5230354124868329,1,1,,,,
2020-07-07,300750,0.559,0.010174864505573034,1.0,0.9,0.5303037007825914,1,1,,,,
2020-07-08,300750,0.459,0.03770815407197459,1.0,0.7,0.5271986907936625,1,1,,,,
2020-07-09,300750,0.46900000000000003,-0.005462881670081021,0.0,0.7,0.5299251522376963,1,1,,,,
2020-07-10,300750,0.43799999999999994,0.0991172143207455,1.0,0.8,0.5316612453563325,1,1,,,,
2020-07-13,300750,0.42500000000000004,-0.03641069117843909,0.0,0.7,0.532352566385284,1,1,,,,
2020-07-14,300750,0.472,-0.04130585783746232,0.0,0.8,0.5313192578567567,1,1,,,,
