date,symbol,future_return_5d,future_return_20d,excess_return_5d,excess_return_20d
2020-01-02,000630,-0.004273504273504369,-0.1495726495726496,-0.021422206609719475,-0.05208520139044773
2020-01-02,000807,-0.011450381679389277,-0.17938931297709926,-0.028599084015604383,-0.08190186479489739
2020-01-02,000831,-0.012947448591012933,-0.20792079207920788,-0.03009615092722804,-0.11043334389700601
2020-01-02,000878,-0.024637681159420333,-0.22173913043478266,-0.04178638349563544,-0.12425168225258079
2020-01-02,000933,-0.031192660550458662,-0.21100917431192667,-0.04834136288667377,-0.1135217261297248
2020-01-02,000960,-0.0018957345971563067,-0.09289099526066358,-0.019044436933371413,0.004596452921538291
2020-01-02,002460,0.15313028764805425,0.3237450648618161,0.13598158531183915,0.421232513044018
2020-01-02,002466,0.027370478983382185,-0.10492016943629856,0.010221776647167079,-0.007432721254096691
2020-01-02,600111,-0.009936766034327027,-0.15085817524841916,-0.027085468370542133,-0.05337072706621729
2020-01-02,600219,0.0663716814159292,-0.07079646017699115,0.04922297907971409,0.02669098800521072
2020-01-02,600362,-0.016929363689433763,-0.18388791593695275,-0.03407806602564887,-0.08640046775475088
2020-01-02,600489,0.04582843713278484,-0.07873090481786138,0.028679734796569732,0.01875654336434049
2020-01-02,600497,-0.006772009029345383,-0.16930022573363446,-0.02392071136556049,-0.07181277755143259
2020-01-02,600547,0.08601823708206702,-0.014589665653495398,0.06886953474585192,0.08289778252870647
2020-01-02,600988,0.16862745098039222,0.2823529411764707,0.15147874864417712,0.3798403893586726
2020-01-02,601168,-0.008759124087591275,-0.12116788321167893,-0.02590782642380638,-0.02368043502947706
2020-01-02,601600,-0.016666666666666607,-0.15555555555555556,-0.033815369002881714,-0.05806810737335369
2020-01-02,601899,-0.05052631578947375,-0.13684210526315788,-0.06767501812568885,-0.03935465708095601
2020-01-02,601958,-0.01982651796778201,-0.19454770755886008,-0.036975220303997115,-0.09706025937665821
2020-01-02,603993,0.011441647597254079,-0.11212814645308922,-0.005707054738961027,-0.014640698270887348
2020-01-03,000630,-0.008620689655172376,-0.125,-0.010882703794540639,-0.048003431407856414
2020-01-03,000807,0.017341040462427904,-0.1483622350674373,0.01507902632305964,-0.0713656664752937
2020-01-03,000831,-0.016018306636155666,-0.19298245614035092,-0.01828032077552393,-0.11598588754820734
2020-01-03,000878,-0.02523431867339576,-0.1917808219178082,-0.027496332812764025,-0.11478425332566462
2020-01-03,000933,-0.027624309392265234,-0.18600368324125238,-0.029886323531633497,-0.1090071146491088
2020-01-03,000960,-0.02351834430856059,-0.08278457196613365,-0.025780358447928853,-0.005788003373990061
2020-01-03,002460,0.12919186366135227,0.4191863661352393,0.126929849521984,0.4961829347273829
2020-01-03,002466,0.03392568659127626,-0.07851373182552501,0.031663672451908,-0.0015171632333814272
2020-01-03,600111,-0.00994575045207946,-0.13381555153707048,-0.012207764591447724,-0.05681898294492689
2020-01-03,600219,0.08000000000000007,-0.05333333333333323,0.07773798586063181,0.023663235258810353
2020-01-03,600362,-0.01980198019801982,-0.1706464764123471,-0.022063994337388083,-0.0936499078202035
2020-01-03,600489,-0.004545454545454519,-0.09318181818181814,-0.0068074686848227815,-0.016185249589674558
2020-01-03,600497,-0.024663677130044803,-0.1569506726457398,-0.026925691269413066,-0.07995410405359622
2020-01-03,600547,0.00805060379528455,-0.0488786658999425,0.005788589655916288,0.02811790269220109
2020-01-03,600988,0.08935361216730042,0.3403041825095059,0.08709159802793216,0.4173007511016495
2020-01-03,601168,-0.04017216642754662,-0.11047345767575312,-0.04243418056691488,-0.03347688908360953
2020-01-03,601600,-0.022222222222222254,-0.14722222222222214,-0.024484236361590517,-0.07022565363007856
2020-01-03,601899,-0.054166666666666585,-0.12499999999999989,-0.056428680806034845,-0.048003431407856303
2020-01-03,601958,-0.013767209011264048,-0.1652065081351689,-0.01602922315063231,-0.08820993954302532
2020-01-03,603993,-0.022321428571428492,-0.08928571428571419,-0.024583442710796755,-0.012289145693570605
2020-01-06,000630,-0.01716738197424883,-0.12017167381974236,0.0016347336906534157,-0.018696223122812564
2020-01-06,000807,-0.011320754716981019,-0.15471698113207544,0.007481360947921227,-0.05324153043514564
2020-01-06,000831,-0.02829486224869704,-0.2129560685033507,-0.009492746583794794,-0.11148061780642089
2020-01-06,000878,-0.001474926253687281,-0.17699115044247782,0.017327189411214965,-0.07551569974554802
