date,symbol,open,high,low,close,volume,amount,turnover
2025-10-14,000630,5.8726291,5.8726291,5.3226839,5.3816066,585460263.0,3331375703.61,5.2541
2025-10-15,000630,5.4208884,5.499452,5.2637612,5.48963155,439375222.0,2408575374.68,3.9431
2025-10-16,000630,5.43070885,5.499452,5.21465895,5.33250435,394993356.0,2156398405.54,3.5448
2025-10-17,000630,5.35214525,5.3816066,5.106634,5.1262749,358884574.0,1905521785.39,3.2207
2025-10-20,000630,5.17537715,5.25394075,5.106634,5.17537715,298307387.0,1571862238.46,2.6771
2025-10-21,000630,5.2048385,5.39142705,5.1655567,5.3423248,381467960.0,2069598743.46,3.4234
2025-10-22,000630,5.1655567,5.3423248,5.1262749,5.31286345,242270125.0,1298858929.13,2.1742
2025-10-23,000630,5.303043,5.4208884,5.23429985,5.41106795,231637465.0,1255235709.62,2.0788
2025-10-24,000630,5.48963155,5.64675875,5.41106795,5.5976565,366829432.0,2055691950.09,3.292
2025-10-27,000630,5.7155019,5.89227,5.6762201,5.7547837,391260820.0,2299060233.78,3.5113
2025-10-28,000630,5.499452,5.50927245,5.17537715,5.17537715,892752855.0,4798266472.03,8.0118
2025-10-29,000630,5.27358165,5.4405293,5.2048385,5.4405293,485152638.0,2637630514.9,4.3539
2025-10-30,000630,5.3816066,5.5583747,5.3423248,5.4208884,392409502.0,2184791285.1,3.5216
2025-10-31,000630,5.37178615,5.43070885,5.17537715,5.19501805,393120731.0,2106220771.61,3.528
2025-11-03,000630,5.1655567,5.17537715,4.95932725,5.0869931,343618747.0,1759272195.08,3.0837
2025-11-04,000630,5.0084295,5.05753175,4.88076365,4.9495068,278618575.0,1407177183.81,2.5004
2025-11-05,000630,4.8709432,5.05753175,4.84148185,5.01824995,242210735.0,1223101606.39,2.1737
2025-11-06,000630,5.05753175,5.1851976,5.03789085,5.1851976,285045366.0,1487005656.7,2.5581
2025-11-07,000630,5.13609535,5.17537715,5.07717265,5.11645445,192216384.0,1004169003.74,1.725
2025-11-10,000630,5.1851976,5.23429985,5.11645445,5.15573625,230602473.0,1213255860.76,2.0695
2025-11-11,000630,5.2244794,5.27358165,5.05753175,5.07717265,227557292.0,1189551190.52,2.0422
2025-11-12,000630,5.0673522,5.19501805,4.9691477,5.11645445,228236111.0,1187833632.75,2.0482
2025-11-13,000630,5.21465895,5.35214525,5.21465895,5.303043,379595318.0,2045354982.14,3.4066
2025-11-14,000630,5.2244794,5.2637612,5.15573625,5.19501805,206101528.0,1095695388.88,1.8496
2025-11-17,000630,5.15573625,5.1851976,5.0673522,5.09681355,183802943.0,957189456.87,1.6495
2025-11-18,000630,5.05753175,5.0673522,4.910225,4.9495068,241310168.0,1222523015.63,2.1656
