date,symbol,distance,horizon_days,future_return
2026-06-09,000630,8.77220533016304,1,0.016000000000000014
2026-06-05,000630,12.406365817568844,1,-0.07919269528565176
2026-06-04,000630,13.094144619044046,1,-0.029895366218236075
2022-03-18,000630,13.77032982388506,1,-0.013623978201634968
2022-03-18,000630,13.77032982388506,5,0.016348773841961872
2022-03-18,000630,13.77032982388506,20,0.11171662125340598
2022-03-18,000630,13.77032982388506,60,-0.05068107134043587
2026-06-01,000630,14.12504574500006,1,0.03812316715542541
2026-06-01,000630,14.12504574500006,5,-0.12374788744924914
2026-05-27,000630,14.54887348910681,1,0.04489164086687314
2026-05-27,000630,14.54887348910681,5,0.09442724458204355
2022-03-11,000630,14.85426500588483,1,-0.06649616368286448
2022-03-11,000630,14.85426500588483,5,-0.0613810741687979
2022-03-11,000630,14.85426500588483,20,0.028132992327365658
2022-03-11,000630,14.85426500588483,60,-0.056226510987866796
2022-03-21,000630,15.157239202646823,1,0.04419889502762442
2022-03-21,000630,15.157239202646823,5,0.03314917127071837
2022-03-21,000630,15.157239202646823,20,0.07734806629834257
2022-03-21,000630,15.157239202646823,60,-0.06034836501716456
2022-03-22,000630,15.284927782611263,1,-0.00793650793650802
2022-03-22,000630,15.284927782611263,5,-0.002645502645502673
2022-03-22,000630,15.284927782611263,20,-0.02910052910052907
2022-03-22,000630,15.284927782611263,60,-0.10557578538302104
2026-05-28,000630,15.301210238135777,1,0.022222222222222143
2026-05-28,000630,15.301210238135777,5,-0.008888888888888946
2026-06-08,000630,15.327627179827896,1,0.053962900505902134
2022-03-17,000630,15.33404826442767,1,0.042613636363636465
2022-03-17,000630,15.33404826442767,5,0.09943181818181812
2022-03-17,000630,15.33404826442767,20,0.13636363636363624
2022-03-17,000630,15.33404826442767,60,0.024912725140541214
2026-05-22,000630,15.34039332707991,1,0.05974842767295585
2026-05-22,000630,15.34039332707991,5,0.08490566037735836
2022-01-26,000630,15.533262292966228,1,-0.04432132963988911
2022-01-26,000630,15.533262292966228,5,0.07756232686980624
2022-01-26,000630,15.533262292966228,20,0.1024930747922439
2022-01-26,000630,15.533262292966228,60,-0.030470914127423865
2026-06-03,000630,15.833344516965521,1,-0.05374823196605383
2026-06-03,000630,15.833344516965521,5,-0.09486559988562071
2022-04-22,000630,16.005045199689125,1,-0.08823529411764708
2022-04-22,000630,16.005045199689125,5,-0.06417112299465244
2022-04-22,000630,16.005045199689125,20,-0.1180582936605763
2022-04-22,000630,16.005045199689125,60,-0.15388717548061548
2022-02-08,000630,16.035151961609582,1,0.09887005649717517
2022-02-08,000630,16.035151961609582,5,0.07909604519774005
2022-02-08,000630,16.035151961609582,20,0.1384180790960452
2022-02-08,000630,16.035151961609582,60,-0.0847457627118644
2022-03-24,000630,16.129006590165066,1,-0.036175710594315236
2022-03-24,000630,16.129006590165066,5,-0.03875968992248069
2022-03-24,000630,16.129006590165066,20,-0.11886304909560719
2022-03-24,000630,16.129006590165066,60,-0.12903983525598495
2022-02-24,000630,16.17853904985632,1,-0.0026041666666667407
2022-02-24,000630,16.17853904985632,5,0.11979166666666652
2022-02-24,000630,16.17853904985632,20,0.0078125
2022-02-24,000630,16.17853904985632,60,-0.13565693513147703
2022-02-07,000630,16.213867938464844,1,0.020172910662824117
2022-02-07,000630,16.213867938464844,5,0.11239193083573484
2022-02-07,000630,16.213867938464844,20,0.2190201729106629
2022-02-07,000630,16.213867938464844,60,-0.057636887608069065
