model_type,horizon_days,industry,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status,industry_source
factor_score,5,theme_proxy:advanced_packaging_chiplet_pcb,1324,4,0.5211480362537765,0.5830815709969789,0.5261566512728092,0.556716743635954,0.2487924742476706,0.24746363731102655,0.0937930714008477,0.09054026775474792,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,0.07558705842861253,0.02047408036420167,0.023950822747939252,0.0146656678731641,0.009285154874775152,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:agriculture_food_beverage,4965,15,0.45357502517623366,0.5492447129909366,0.47420066701337993,0.42425011789233735,0.2565821884078669,0.2597955883539683,0.06480290876661805,0.06541825104002078,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.0554828992723927,-0.00260873641204424,-6.621408169946821e-05,0.0021530174828885014,-0.0022192315645879696,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:ai_compute_semiconductor,1976,6,0.4979757085020243,0.5167004048582996,0.4994656711672675,0.45872181569244813,0.25307565269983634,0.2569451926513457,0.024630575562473576,0.030251967485529812,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6174089068825911,1.0,0.012262187486206767,0.004360222835903907,0.004918842717032789,0.0013051787972337106,0.003613663919799078,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:chemical_new_materials,2643,8,0.4801362088535755,0.5300794551645857,0.4702018686905259,0.4568648342971032,0.25516576353185355,0.2577933109109984,0.03391412483138552,0.044245249820070665,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6186152099886493,1.0,-0.04610444536860376,0.008326994249534333,0.011128563249069754,0.00995106922104625,0.001177494028023503,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:coal_power_oil_gas,2317,7,0.5049633146309883,0.5304272766508416,0.4915043315943139,0.4720316014933231,0.2535314324631139,0.25773790622521575,0.02965675455799459,0.04651894867806323,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.003573904836068735,0.007755153629448423,0.003905912451617001,0.005988337145275325,-0.0020824246936583237,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:commercial_space_satellite_internet,1324,4,0.47205438066465255,0.5060422960725075,0.4791284403669725,0.4713359806472226,0.2559323301762939,0.2580122270645298,0.008709457619228127,0.033904599962293884,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.034629844872157055,0.00471805333457731,0.017144749325865273,0.00991051068422092,0.007234238641644353,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:consumer_electronics_pcb,5286,16,0.493946273174423,0.5355656451002648,0.4881172298835773,0.48742026199604177,0.2540619531133075,0.256496427606469,0.03918782095458306,0.047779308669489824,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.620506999621642,1.0,-0.010581528157528561,0.008228952979178025,0.008089053843513818,0.007317336830787247,0.0007717170127265714,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:cpo_optical_module_datacenter,331,1,0.5619335347432024,0.5921450151057401,0.5474300831443688,0.5944255479969766,0.24617084483317758,0.24277495473274036,0.08534278949733777,0.08321035099798278,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,0.10736550121292432,0.025122519093428806,0.01077710717711771,0.009379299457687324,0.001397807719430386,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:cxo_biotech_innovative_drug,331,1,0.42900302114803623,0.5075528700906344,0.42223561203622556,0.4552841075080339,0.26134308474842083,0.2597478854808495,0.035933973312109235,0.060923702846254923,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.16672781471261625,0.009116418716390786,-0.007446527079847467,0.022617015059305485,-0.03006354213915295,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:data_element_fintech_ai_app,1654,5,0.4480048367593712,0.5399032648125756,0.43325073244522666,0.43321541615102427,0.26009100865614315,0.26053899140126385,0.054027104274923694,0.046107924343036094,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.619105199516324,1.0,-0.10583004471531937,-0.0006614275990747328,-0.008292247277796967,0.006112153144106778,-0.014404400421903746,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:datacenter_optical_liquid_cooling,1986,6,0.500503524672709,0.5463242698892246,0.5042865837753239,0.4778576798948429,0.2516097617366926,0.25669761751730724,0.05096676991510968,0.0705721743943297,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,0.022535451529357518,0.01621162568872078,0.012841896331943525,0.010005424419427296,0.0028364719125162294,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:defense_ship_equipment,2979,9,0.48036253776435045,0.5085599194360524,0.5004425237605727,0.4931222835398294,0.2543720681654636,0.25502620276271487,0.03678730595582273,0.03794190129825524,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.026559416782341333,0.006493990860257318,0.01860586069107072,0.013212665128649312,0.005393195562421408,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:education_human_capital,2314,7,0.4580812445980985,0.5561797752808989,0.4717567405006548,0.47404121357383283,0.2560434761924149,0.25412787647474944,0.053882094993677715,0.03461803018476062,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6192739844425238,1.0,-0.07157564367339095,-0.001248402211221907,-0.006715332277376592,0.007970174562561048,-0.014685506839937641,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:high_dividend_state_owned_finance,662,2,0.43202416918429004,0.5317220543806647,0.4121838343108504,0.44397452346041055,0.26001469085903534,0.2584875758207792,0.021636769450133944,0.032230682349020254,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.16476102495391057,0.004172815178593776,0.0009039411107595874,0.01653384687080116,-0.015629905760041574,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:home_appliance_export,3641,11,0.45591870365284265,0.5116726174127987,0.45177897448809234,0.4409783921937294,0.25857095006556513,0.26046268732564437,0.03763104867799398,0.0352030655349316,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.0961109397582644,9.085097195398317e-05,-0.0012434562951169732,0.006532068082667376,-0.007775524377784349,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:humanoid_robot_core_parts,1650,5,0.5454545454545454,0.5078787878787879,0.5479568113147654,0.5248259990359406,0.24897602898843302,0.2518084458923365,0.01174251861343869,0.031579316454503695,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6212121212121212,1.0,0.07027103843347206,0.008346626849886607,0.012000916361887489,0.0018323511863973382,0.010168565175490151,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:industrial_mother_machine_laser,662,2,0.4818731117824773,0.5392749244712991,0.44459291913486704,0.4356339257014281,0.2571286354815945,0.2626672404977828,0.04865533125341147,0.07961065430154725,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.06253719077634813,0.016924094025386978,-0.00012965517503508254,0.0058677216405996204,-0.005997376815634703,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:innovative_drug_medical_device,1655,5,0.4453172205438066,0.5782477341389728,0.4282455021512427,0.431899021835787,0.25838430156854986,0.2548723334358183,0.08560852616855968,0.08576636752858648,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.13305360170038474,-0.00316587849280331,-0.007401445947656287,0.007983029739711177,-0.015384475687367463,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:low_altitude_space_satellite,331,1,0.48942598187311176,0.56797583081571,0.5046496057134355,0.36086519863115607,0.2527641949184829,0.2602739896866961,0.06487555827237654,0.04549777610728277,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,1.0,-0.03001222272175911,-0.0040891629352006,-0.0036764281434527872,0.0013251553259461461,-0.005001583469398933,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
