model_type,horizon_days,regime_source,market_regime,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status
factor_score,5,pit_market_mean_return_and_breadth,bearish_pit,16120,220,0.49509925558312656,0.5117866004962779,0.5034173578221863,0.47401013438065537,0.2525090472342913,0.25723103958678667,0.012211185479657568,0.03636154450100973,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6294665012406948,1.0,0.01165115112699631,0.004050268801699312,0.006987514293300406,0.005087311276160364,0.0019002030171400416,ok
factor_score,5,pit_market_mean_return_and_breadth,bullish_pit,16134,220,0.4955373744886575,0.5255981157803397,0.5006465357859499,0.47643615559258695,0.25340878650977766,0.2577916291920535,0.02332415011601393,0.05402711527808585,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6116895996033221,1.0,-0.003462527130463466,0.007397497207350719,0.00972673011603797,0.008465563647039015,0.0012611664689989553,ok
factor_score,5,pit_market_mean_return_and_breadth,high_volatility_pit,18187,197,0.4759993401880464,0.5142134491669874,0.4734112601863941,0.478129025722506,0.2567530217541683,0.2585823305960231,0.0486813716159654,0.06299417223270837,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6031231099136746,1.0,-0.06169234302408915,0.005810175750459158,-0.0006369518225827724,0.012422120374580705,-0.013059072197163478,weak_or_failed
factor_score,5,pit_market_mean_return_and_breadth,sideways_pit,22307,220,0.46545927287398575,0.5104675662348142,0.4687688486098954,0.46875270012619624,0.25623644507470067,0.25711861326571955,0.017609944719830597,0.02435798554250413,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6302954229614023,1.0,-0.048544026139615185,0.003477562412894975,0.0059253292581375,0.006415506076717935,-0.0004901768185804345,weak_or_failed
