date,time_label,symbol,bar_index,scenario,open,high,low,close,target_1d_return,prob_up,expected_return,direction,trend_label,confidence,risk_flags,trust_status,model_id,model_type,data_version,source,is_forecast,note
2026-06-11,09:30,000630,1,bearish,6.35,6.453205751793495,6.246794248206504,6.35,-0.02999351563174947,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,09:30,000630,1,base,6.35,6.439132240185291,6.260867759814708,6.35,0.0008284021764697193,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,09:30,000630,1,bullish,6.35,6.457896922329564,6.2421030776704365,6.35,0.03165031998468891,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,10:30,000630,2,bearish,6.35,6.453205751793495,6.240989149901516,6.344098993376122,-0.02999351563174947,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,10:30,000630,2,base,6.35,6.464947816230685,6.260867759814708,6.37545822973866,0.0008284021764697193,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,10:30,000630,2,bullish,6.35,6.524863756789557,6.2421030776704365,6.415847969383129,0.03165031998468891,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,11:30,000630,3,bearish,6.344098993376122,6.447208836850726,6.167377610044124,6.269271288233016,-0.02999351563174947,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,11:30,000630,3,base,6.37545822973866,6.464947816230685,6.252377486976052,6.341388856210714,0.0008284021764697193,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,11:30,000630,3,bullish,6.415847969383129,6.524863756789557,6.3007259691026345,6.409636208496157,0.03165031998468891,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,13:30,000630,4,bearish,6.269271288233016,6.371164966421908,6.146583446064583,6.248133575668208,-0.02999351563174947,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,13:30,000630,4,base,6.341388856210714,6.456642536783758,6.252377486976052,6.367267914255021,0.0008284021764697193,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,13:30,000630,4,bullish,6.409636208496157,6.601864842671263,6.3007259691026345,6.4915625404315085,0.03165031998468891,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,14:30,000630,5,bearish,6.248133575668208,6.349683705271833,6.081431830205774,6.181905564265045,-0.02999351563174947,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,14:30,000630,5,base,6.367267914255021,6.456642536783758,6.258319487809563,6.347415449766159,0.0008284021764697193,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,14:30,000630,5,bullish,6.4915625404315085,6.620966641781562,6.3812602381917545,6.510345191472436,0.03165031998468891,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,15:00,000630,6,bearish,6.181905564265045,6.282379298324315,6.059430927274599,6.159541175738391,-0.02999351563174947,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,15:00,000630,6,base,6.347415449766159,6.444466431347637,6.258319487809563,6.355260353820582,0.0008284021764697193,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-06-11,15:00,000630,6,bullish,6.510345191472436,6.662291426349432,6.399723741163311,6.550979531902774,0.03165031998468891,0.4749423586856628,0.0008284021764697193,中性,无明显形态,0.03758646197150578,high_volatility,weak,stock_forecast_factor_score_h1,factor_score,0eb3a3a534ae,baostock,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
