date,symbol,score,future_return_1d,direction_up_1d,score_percentile,prob_up,predicted_direction,horizon_days,future_return_5d,direction_up_5d,future_return_20d,direction_up_20d,future_return_60d,direction_up_60d
2024-01-02,000630,0.0,-0.015105740181268867,0.0,0.5022727272727273,0.5,1,1,,,,,,
2024-01-03,000630,0.0,0.0030674846625766694,1.0,0.5022727272727273,0.37727272727272726,0,1,,,,,,
2024-01-04,000630,0.0,-0.006116207951070374,0.0,0.5022727272727273,0.3181818181818182,0,1,,,,,,
2024-01-05,000630,0.0,-0.003076923076923088,0.0,0.5022727272727273,0.2696969696969697,0,1,,,,,,
2024-01-08,000630,0.0,0.024691358024691246,1.0,0.5022727272727273,0.21931818181818183,0,1,,,,,,
2024-01-09,000630,0.02386363636363636,-0.015060240963855387,0.0,0.1590909090909091,0.3054545454545455,0,1,,,,,,
2024-01-10,000630,0.01977272727272727,-0.003058103975535187,0.0,0.1318181818181818,0.36376488807995655,0,1,,,,,,
2024-01-11,000630,0.042954545454545454,0.006134969325153339,1.0,0.2863636363636364,0.3467534480024408,0,1,,,,,,
2024-01-12,000630,0.04022727272727273,0.0,0.0,0.2681818181818182,0.37132411638858054,0,1,,,,,,
2024-01-15,000630,0.06409090909090909,0.0,0.0,0.42727272727272725,0.36688868173217365,0,1,,,,,,
2024-01-16,000630,0.12704545454545454,-0.030487804878048697,0.0,0.4909090909090909,0.3764708987288923,0,1,,,,,,
2024-01-17,000630,0.11477272727272726,-0.012578616352201366,0.0,0.44545454545454544,0.3468304501285623,0,1,,,,,,
2024-01-18,000630,0.23645454545454547,-0.019108280254777066,0.0,0.7090909090909091,0.3536096145620381,0,1,,,,,,
2024-01-19,000630,0.23631818181818182,-0.04220779220779225,0.0,0.9818181818181818,0.3412973501410109,0,1,,,,,,
2024-01-22,000630,0.2836363636363637,-0.01016949152542379,0.0,0.9863636363636363,0.3154692592442567,0,1,,,,,,
2024-01-23,000630,0.36409090909090913,0.03082191780821919,1.0,1.0,0.3440250640990662,0,1,,,,,,
2024-01-24,000630,0.33868181818181825,0.036544850498339,1.0,1.0,0.38710724835472465,0,1,,,,,,
2024-01-25,000630,0.2786363636363636,0.012820512820512997,1.0,0.9545454545454546,0.4199610570710329,0,1,,,,,,
2024-01-26,000630,0.2429090909090909,-0.012658227848101333,0.0,0.8727272727272727,0.40686921653584446,0,1,,,,,,
2024-01-29,000630,0.24686363636363637,-0.022435897435897356,0.0,0.8818181818181818,0.39461401249358224,0,1,,,,,,
2024-01-30,000630,0.4206363636363637,-0.009836065573770592,0.0,0.8090909090909091,0.3786965217529216,0,1,,,,,,
2024-01-31,000630,0.4362727272727273,0.013245033112582849,1.0,0.8909090909090909,0.3705380266833722,0,1,,,,,,
2024-02-01,000630,0.43709090909090914,-0.013071895424836666,0.0,0.8863636363636364,0.379168822664692,0,1,,,,,,
2024-02-02,000630,0.4329090909090909,-0.009933774834437026,0.0,0.8909090909090909,0.37279067110656705,0,1,,,,,,
2024-02-05,000630,0.44077272727272726,0.0635451505016722,1.0,0.9136363636363637,0.379731037319274,0,1,,,,,,
2024-02-06,000630,0.41000000000000003,0.028301886792452935,1.0,0.8272727272727273,0.3986459645419694,0,1,,,,,,
