latest_date,symbol,horizon_days,trust_status,check,status,passed,severity,observed,threshold,reason,model_id,data_version
2026-06-10,000630,20,model_failed,news_event_factors,pass,True,required,event_factor_rows=379; event_feature_count=13,event factors and forecast event features present,passed,stock_forecast_factor_score_h20,0eb3a3a534ae
2026-06-10,000630,60,model_failed,forecast_row_present,pass,True,required,row,present,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,data_version,pass,True,required,0eb3a3a534ae,non-empty data_version,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,model_version,pass,True,required,model_id=stock_forecast_factor_score_h60; model_type=factor_score,non-empty model_id and model_type,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,probability_outputs,pass,True,required,prob_up=0.5533587508243698; raw=0.5329845299857577; calibrated=0.5533587508243698,"probability fields in [0, 1]",passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,return_interval_outputs,pass,True,required,p10=-0.19862909345752594; p50=0.06506665426377595; p90=0.32876240198507783,finite expected returns and p10 <= p50 <= p90,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,direction_and_trend_labels,pass,True,required,direction=震荡偏多; trend=无明显形态,non-empty direction and trend labels,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,risk_flags,pass,True,required,high_volatility,non-empty risk_flags,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,factor_contributors,pass,True,required,z:negative_event_count=6.235;z:limit_down_near_5=4.221;z:event_impact_score=-4.042;z:event_weighted_impact_score=-3.990;z:positive_event_count=3.552;latest:event_count_3d=5.000;latest:event_count_20d=24.000;latest:positive_event_count=8.000;latest:negative_event_count=10.000;latest:event_impact_score=-0.520,non-empty top_factor_contributors,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,walk_forward_evidence,fail,False,required,model=; status=missing; rows=0,walk_forward model id/status/rows present,trusted prediction evidence requires out-of-sample walk-forward provenance,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,walk_forward_metrics,pass,True,required,auc=0.0; brier=0.0; rank_ic=0.0,AUC/Brier/RankIC fields present and numeric,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,probability_calibration,pass,True,required,status=calibration_failed; raw_brier=0.2696727583281235; calibrated_brier=0.2670209537322607; raw_ece=0.21442951565128532; calibrated_ece=0.21035708187986735,calibration status plus Brier/ECE fields,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,conformal_interval,pass,True,required,status=conformal_ready; rows=528; half_width=0.2636957477213019,conformal status/rows/interval width present,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,research_no_advice_note,pass,True,required,Research signal only; not investment advice.,contains not investment advice,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,sample_source_warning,pass,True,warning,baostock,source != sample,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,news_raw_events,pass,True,required,event_rows=242,event_rows > 0,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
2026-06-10,000630,60,model_failed,news_event_factors,pass,True,required,event_factor_rows=379; event_feature_count=13,event factors and forecast event features present,passed,stock_forecast_factor_score_h60,0eb3a3a534ae
