horizon,target_day,date,base_close,bearish_close,bullish_close,p10_close,p50_close,p90_close,prob_up,expected_return,return_p10,return_p50,return_p90,direction,trend_label,confidence,trust_status,risk_flags,model_id
intraday_next_day,0,2026-06-11,6.355260353820582,6.159541175738391,6.550979531902774,6.159541175738391,6.355260353820582,6.550979531902774,0.4749423586856628,0.0008284021764697193,-0.02999351563174947,0.0008284021764697193,0.03165031998468891,中性,无明显形态,0.03758646197150578,weak,high_volatility,stock_forecast_factor_score_h1
1d,1,2026-06-11,6.355260353820582,6.159541175738391,6.550979531902774,6.159541175738391,6.355260353820582,6.550979531902774,0.4749423586856628,0.0008284021764697193,-0.02999351563174947,0.0008284021764697193,0.03165031998468891,中性,无明显形态,0.03758646197150578,weak,high_volatility,stock_forecast_factor_score_h1
5d,5,2026-06-17,6.379265571157933,5.922255693748387,6.83627544856748,5.922255693748387,6.379265571157933,6.83627544856748,0.4814949800557352,0.004608751363454014,-0.06736130807112023,0.004608751363454014,0.07657881079802825,中性,无明显形态,0.027757529916397183,weak,high_volatility,stock_forecast_factor_score_h5
20d,20,2026-07-08,6.481110449858424,5.524672446257704,7.437548453459145,5.524672446257704,6.481110449858424,7.437548453459145,0.4976013247796354,0.020647314938334615,-0.1299728431090229,0.020647314938334615,0.17126747298569212,中性,无明显形态,0.003598012830546865,model_failed,high_volatility,stock_forecast_factor_score_h20
