date,symbol,distance,horizon_days,future_return
2026-06-08,300750,4.627041543378401,1,0.01648771054908149
2026-06-05,300750,6.166441537608923,1,-0.024764267990074473
2026-06-09,300750,6.244664156696521,1,-0.027534418022528206
2026-05-22,300750,8.25792213296115,1,-0.02013814573402084
2026-05-22,300750,8.25792213296115,5,0.03122871874695976
2026-05-20,300750,8.40043893002868,1,-0.00752260397830018
2026-05-20,300750,8.40043893002868,5,0.00012055455093440415
2026-03-04,300750,8.444926212197448,1,0.03349070522277975
2026-03-04,300750,8.444926212197448,5,0.17084685748008277
2026-03-04,300750,8.444926212197448,20,0.19713779876069637
2026-02-27,300750,8.689958150865875,1,-0.005233765094587839
2026-02-27,300750,8.689958150865875,5,0.037308850618402944
2026-02-27,300750,8.689958150865875,20,0.21686500394725305
2026-05-21,300750,8.933344735679857,1,-0.00114180210383108
2026-05-21,300750,8.933344735679857,5,0.009838933022374485
2026-03-02,300750,8.940222788139286,1,0.011316207160072977
2026-03-02,300750,8.940222788139286,5,0.05079066486391137
2026-03-02,300750,8.940222788139286,20,0.21392040444418314
2026-05-18,300750,9.128220258534181,1,0.0016537641109219958
2026-05-18,300750,9.128220258534181,5,-0.03439349998801622
2026-05-19,300750,9.218702957440007,1,-0.007585183767228165
2026-05-19,300750,9.218702957440007,5,-0.036897013782542176
2026-05-26,300750,9.241029502729925,1,0.03055900621118024
2026-05-26,300750,9.241029502729925,5,0.07798757763975162
2026-05-25,300750,9.597427333654553,1,-0.0009432088959491214
2026-05-25,300750,9.597427333654553,5,0.04274225575853863
2026-04-07,300750,9.673319563613907,1,0.017447151511999826
2026-04-07,300750,9.673319563613907,5,0.12012792844327724
2026-04-07,300750,9.673319563613907,20,0.15409186435147193
2026-04-09,300750,9.992726453136246,1,0.06669401779532791
2026-04-09,300750,9.992726453136246,5,0.16408113028539195
2026-04-09,300750,9.992726453136246,20,0.12313656687283281
2026-05-15,300750,10.007348728167349,1,-0.015037771482530715
2026-05-15,300750,10.007348728167349,5,-0.029367327667610965
2026-04-03,300750,10.229312670050229,1,-0.004838793148062015
2026-04-03,300750,10.229312670050229,5,0.10523728199554938
2026-04-03,300750,10.229312670050229,20,0.1869837662880589
2026-05-28,300750,10.318679362739239,1,0.02001539645881456
2026-05-28,300750,10.318679362739239,5,-0.017994611239414926
2026-02-03,300750,10.510795204579084,1,0.049208128538989815
2026-02-03,300750,10.510795204579084,5,0.04903567014457755
2026-02-03,300750,10.510795204579084,20,0.1405248483803283
2026-06-04,300750,10.592339875689387,1,-0.01273885350318471
