horizon,target_day,date,base_close,bearish_close,bullish_close,p10_close,p50_close,p90_close,prob_up,expected_return,return_p10,return_p50,return_p90,direction,trend_label,confidence,trust_status,risk_flags,model_id
intraday_next_day,0,2026-01-01,33.674964560530476,32.850773716038276,34.49915540502267,32.850773716038276,33.674964560530476,34.49915540502267,0.5327748402364523,0.0012074951028552866,-0.02329694199662474,0.0012074951028552866,0.02571193220233531,震荡偏多,趋势延续,0.07364480120135569,data_insufficient,none,stock_forecast_factor_score_h1
1d,1,2026-01-01,33.674964560530476,32.850773716038276,34.49915540502267,32.850773716038276,33.674964560530476,34.49915540502267,0.5327748402364523,0.0012074951028552866,-0.02329694199662474,0.0012074951028552866,0.02571193220233531,震荡偏多,趋势延续,0.07364480120135569,data_insufficient,none,stock_forecast_factor_score_h1
5d,5,2026-01-07,33.85022868443307,31.887510809818718,35.81294655904741,31.887510809818718,33.85022868443307,35.81294655904741,0.5720895692372023,0.0064183618925885135,-0.05193620128160578,0.0064183618925885135,0.06477292506678281,震荡偏多,趋势延续,0.15009239581384548,data_insufficient,none,stock_forecast_factor_score_h5
20d,20,2026-01-28,34.48885279845635,30.145344859975463,38.83236073693723,30.145344859975463,34.48885279845635,38.83236073693723,0.6203095759190518,0.025405620167626198,-0.10373342302955275,0.025405620167626198,0.15454466336480516,看多,趋势延续,0.21784744119772298,data_insufficient,none,stock_forecast_factor_score_h20
