horizon_days,rows,direction_accuracy,brier,return_ic,top_bucket_return,bottom_bucket_return,max_forward_drawdown
1,1042,0.5124760076775432,0.25138461689980196,-0.02008684435954232,-0.0008617555753868006,0.0003032338194321155,-0.6017699877043893
5,1038,0.5115606936416185,0.24936005964478797,0.10415649089571725,0.007128313083156067,0.000822273445323361,-0.9881690753355714
20,1023,0.5171065493646139,0.25344184106436607,0.030868216243284608,0.007532478327185533,-0.0016050678990564738,-0.9999999660699174
60,983,0.5676500508646999,0.25002730779328564,0.1834549846443344,0.0748051828112206,-0.019245214342494498,-1.0
