trade_date,symbol,side,requested_shares,filled_shares,fill_price,gross_value,fee,tax,status
2025-12-31,000630,BUY,4400,4400,33.65116842173613,148065.141055639,44.41954231669169,0.0,FILLED
2025-12-31,600362,BUY,1700,1700,84.99475852054562,144491.08948492754,43.34732684547826,0.0,FILLED
2025-12-31,601899,BUY,2900,2900,50.62128039929205,146801.71315794694,44.04051394738408,0.0,FILLED
