date,symbol,score,close,amount
2020-01-02,000630,0.0,2.04029514,240134673.0
2020-01-02,000807,0.0,4.7560598,381084843.75
2020-01-02,000831,0.0,13.00748397,470431581.38
2020-01-02,000878,0.0,12.2547312,555443442.88
2020-01-02,000933,0.0,4.25307645,391827736.62
2020-01-02,000960,0.0,9.9342176,212449800.44
2020-01-02,002460,0.0,23.89677768,1554001262.06
2020-01-02,002466,0.0,28.29025683,1704146491.18
2020-01-02,600111,0.0,10.73265282,632313184.0
2020-01-02,600219,0.0,1.78507004,248722512.0
2020-01-02,600362,0.0,14.98561521,606442649.0
2020-01-02,600489,0.0,7.50215219,315636155.0
2020-01-02,600497,0.0,3.79672707,187822437.0
2020-01-02,600547,0.0,22.8549062,1595732633.0
2020-01-02,600988,0.0,5.0108877,456954498.0
2020-01-02,601168,0.0,5.3251489,787999680.0
2020-01-02,601600,0.0,3.3658668,481122235.0
2020-01-02,601899,0.0,4.24753075,1667226632.0
2020-01-02,601958,0.0,6.66899958,141924073.0
2020-01-02,603993,0.0,3.92857319,1071796840.0
2020-01-03,000630,0.0,2.02285672,171474718.94
2020-01-03,000807,0.0,4.71067755,294537434.37
2020-01-03,000831,0.0,12.98767059,468606578.31
2020-01-03,000878,0.0,12.31689288,516561421.8
2020-01-03,000933,0.0,4.23746883,240133642.03
2020-01-03,000960,0.0,10.00954816,211650016.48
2020-01-03,002460,0.0,24.51677304,1929748138.47
2020-01-03,002466,0.0,28.52992665,2497391752.22
2020-01-03,600111,0.0,10.72295756,648384741.0
2020-01-03,600219,0.0,1.7771715,150529220.0
2020-01-03,600362,0.0,15.02060789,459737794.0
2020-01-03,600489,0.0,7.7578072,669708555.0
2020-01-03,600497,0.0,3.82243854,163062665.0
2020-01-03,600547,0.0,24.16090084,3393801099.0
2020-01-03,600988,0.0,5.16809202,637741833.0
2020-01-03,601168,0.0,5.41843618,512951823.0
2020-01-03,601600,0.0,3.3658668,224465950.0
2020-01-03,601899,0.0,4.2922416,1319798516.0
2020-01-03,601958,0.0,6.60288806,139623773.0
2020-01-03,603993,0.0,4.02746176,1390300828.0
2020-01-06,000630,0.0,2.03157593,171543511.03
2020-01-06,000807,0.0,4.8105185,435583332.98
2020-01-06,000831,0.0,13.30468467,631540342.53
2020-01-06,000878,0.0,12.04160544,628520540.12
2020-01-06,000933,0.0,4.22186121,284812335.24
2020-01-06,000960,0.0,10.0283808,251374689.37
2020-01-06,002460,0.0,26.95632,3768945057.94
2020-01-06,002466,0.0,30.12465276,2979370294.51
2020-01-06,600111,0.0,10.92655802,931187551.0
2020-01-06,600219,0.0,1.80876566,307396545.0
2020-01-06,600362,0.0,14.86314083,662194678.0
2020-01-06,600489,0.0,8.2867486,1420242234.0
2020-01-06,600497,0.0,3.83100903,219320174.0
2020-01-06,600547,0.0,26.33524298,4585224982.0
2020-01-06,600988,0.0,5.68883133,984889190.0
2020-01-06,601168,0.0,5.4028883,605151905.0
2020-01-06,601600,0.0,3.39391569,340356596.0
2020-01-06,601899,0.0,4.34589462,2780549169.0
2020-01-06,601958,0.0,6.6524717,157926849.0
2020-01-06,603993,0.0,4.03645163,1498800734.0
2020-01-07,000630,0.0,2.04029514,180146090.05
2020-01-07,000807,0.0,4.89220655,388005537.95
2020-01-07,000831,0.0,13.16599101,414595447.98
2020-01-07,000878,0.0,12.1215276,485235718.48
2020-01-07,000933,0.0,4.26868407,342788844.0
2020-01-07,000960,0.0,10.06604608,174658409.61
2020-01-07,002460,0.0,26.94284184,2290997377.0
2020-01-07,002466,0.0,29.69140347,1908425682.26
2020-01-07,600111,0.0,10.83930068,639459889.0
2020-01-07,600219,0.0,1.87195398,396192557.0
2020-01-07,600362,0.0,14.9593707,566684521.0
2020-01-07,600489,0.0,8.03990928,663555281.0
2020-01-07,600497,0.0,3.83957952,209462219.0
2020-01-07,600547,0.0,25.53636328,2588258914.0
2020-01-07,600988,0.0,5.77725876,937566036.0
2020-01-07,601168,0.0,5.441758,372341175.0
2020-01-07,601600,0.0,3.37521643,283428201.0
2020-01-07,601899,0.0,4.17599339,1877777118.0
2020-01-07,601958,0.0,6.611152,111010558.0
2020-01-07,603993,0.0,3.97352254,809702807.0
2020-01-08,000630,0.0,2.02285672,184156476.85
2020-01-08,000807,0.0,4.6652953,395728635.33
2020-01-08,000831,0.0,12.70037658,417642234.43
2020-01-08,000878,0.0,11.84624016,466769991.99
2020-01-08,000933,0.0,4.08139263,382925511.43
2020-01-08,000960,0.0,9.8400544,195259175.71
2020-01-08,002460,0.0,27.40109928,3460242147.42
2020-01-08,002466,0.0,29.44251558,2337766641.29
2020-01-08,600111,0.0,10.5678334,555180964.0
2020-01-08,600219,0.0,1.86405544,447143914.0
2020-01-08,600362,0.0,14.74066645,557846928.0
2020-01-08,600489,0.0,8.39253688,1546382728.0
2020-01-08,600497,0.0,3.73673364,200893517.0
2020-01-08,600547,0.0,26.73815622,5107351837.0
2020-01-08,600988,0.0,6.35694969,1661806576.0
2020-01-08,601168,0.0,5.25518344,355382560.0
2020-01-08,601600,0.0,3.29106976,286159746.0
2020-01-08,601899,0.0,4.2028199,2072072563.0
2020-01-08,601958,0.0,6.53677654,123752495.0
2020-01-08,603993,0.0,4.00948202,958139713.0
2020-01-09,000630,0.036000000000000004,2.03157593,116763442.0
2020-01-09,000807,0.052000000000000005,4.7016011,237401821.27
2020-01-09,000831,0.055999999999999994,12.83907024,238354133.34
2020-01-09,000878,0.07200000000000001,11.95280304,498789505.69
2020-01-09,000933,0.076,4.12041168,189842949.36
2020-01-09,000960,0.032,9.91538496,128530731.93
2020-01-09,002460,0.008,27.55609812,1844550545.46
2020-01-09,002466,0.024,29.06457471,1579685991.18
2020-01-09,600111,0.048,10.62600496,343039250.0
