date,symbol,shares,close,market_value,weight
2020-01-06,601899,30100,4.34589462,130811.428062,0.13002600609445245
2020-01-06,000630,65900,2.03157593,133880.853787,0.13307700227986338
2020-01-06,601600,39800,3.39391569,135077.844462,0.13426680594693124
2020-01-06,000807,28500,4.8105185,137099.77724999998,0.13627659858439448
2020-01-06,601168,24700,5.4028883,133451.34101,0.13265006839658386
2020-01-06,601958,20300,6.6524717,135045.17551,0.1342343331468496
2020-01-07,601899,30100,4.17599339,125697.401039,0.12529567322353258
2020-01-07,000630,65900,2.04029514,134455.449726,0.1340257312620569
2020-01-07,601600,39800,3.37521643,134333.61391400002,0.13390428483626696
2020-01-07,000807,28500,4.89220655,139427.886675,0.13898227634522228
2020-01-07,601168,24700,5.441758,134411.4226,0.13398184484637393
2020-01-07,601958,20300,6.611152,134206.38559999998,0.1337774631428671
2020-01-08,601899,30100,4.2028199,126504.87899,0.12818015476851036
2020-01-08,000630,65900,2.02285672,133306.257848,0.13507160276338676
2020-01-08,601600,39800,3.29106976,130984.576448,0.1327191758566056
2020-01-08,000807,28500,4.6652953,132960.91605,0.13472168768130383
2020-01-08,601168,24700,5.25518344,129803.03096799999,0.1315219834344508
2020-01-08,601958,20300,6.53677654,132696.563762,0.1344538346351622
2020-01-09,601899,30100,4.03291867,121390.851967,0.12327124800845153
2020-01-09,000630,65900,2.03157593,133880.853787,0.13595472528067454
2020-01-09,601600,39800,3.30976902,131728.806996,0.13376934236754306
2020-01-09,000807,28500,4.7016011,133995.63135,0.1360712807970509
2020-01-09,601168,24700,5.27850526,130379.079922,0.1323987074458275
2020-01-09,601958,20300,6.53677654,132696.563762,0.13475209009836775
2020-01-10,601899,30100,4.05974518,122198.329918,0.12428018742124904
2020-01-10,000630,65900,2.0054183,132157.06597,0.1344085875708406
2020-01-10,601600,39800,3.29106976,130984.576448,0.13321612268493427
2020-01-10,000807,28500,4.7923656,136582.4196,0.13890933466706332
2020-01-10,601168,24700,5.20076586,128458.91674199999,0.13064743404708945
2020-01-10,601958,20300,6.51198472,132193.289816,0.1344454285519982
2020-01-13,601899,37200,4.14022471,154016.359212,0.15555329239364288
2020-01-13,000630,24000,1.99669909,47920.778159999994,0.048398980828996165
2020-01-13,000878,8500,12.02384496,102202.68216,0.10322256533519172
2020-01-13,601600,14600,3.29106976,48049.618496,0.04852910686599927
2020-01-13,000807,10000,4.7560598,47560.598,0.048035206421981724
2020-01-13,000933,25200,4.1360193,104227.68636,0.10526777710381541
2020-01-13,601168,29100,5.27850526,153604.503066,0.1551373263246445
2020-01-13,600497,27800,3.73673364,103881.195192,0.1049178282916017
2020-01-13,601958,7400,6.59462412,48800.218488,0.049287197114487265
2020-01-13,000960,10600,9.94363392,105402.519552,0.10645433398623971
2020-01-14,601899,37200,4.23858858,157675.495176,0.15673915577163602
