date,cash,market_value,equity,daily_return,running_max,drawdown
2020-01-02,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0
2020-01-03,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0
2020-01-06,200674.07897868066,805366.420081,1006040.4990596806,0.006040499059680515,1006040.4990596806,0.0
2020-01-07,200674.07897868066,802532.1595539998,1003206.2385326804,-0.0028172429734680815,1006040.4990596806,-0.0028172429734680815
2020-01-08,200674.07897868066,786256.224066,986930.3030446806,-0.016223917737797855,1006040.4990596806,-0.018995453993016942
2020-01-09,200674.07897868066,784071.7877840002,984745.8667626808,-0.002213364282422803,1006040.4990596806,-0.0211667744160432
2020-01-10,200674.07897868066,782574.598494,983248.6774726807,-0.001520381390299308,1006040.4990596806,-0.022654974236427705
2020-01-13,74453.41282552086,915666.158686,990119.5715115209,0.006987951467680498,1006040.4990596806,-0.015825334629212873
2020-01-14,74453.41282552086,931520.457582,1005973.8704075208,0.01601250934954912,1006040.4990596806,-6.622859837357442e-05
2020-01-15,74453.41282552086,915104.963678,989558.3765035209,-0.01631801221372675,1006040.4990596806,-0.016383160093023208
2020-01-16,74453.41282552086,910207.72587,984661.1386955208,-0.004948912488926482,1006040.4990596806,-0.021250993756357195
2020-01-17,74453.41282552086,918481.6130080001,992935.0258335209,0.008402776156030134,1006040.4990596806,-0.013026784943955039
2020-01-20,37307.2074725423,950984.019314,988291.2267865423,-0.004676840806456917,1006040.4990596806,-0.01764270155100922
2020-01-21,37307.2074725423,918413.467318,955720.6747905423,-0.03295643137691717,1006040.4990596806,-0.05001769244495713
2020-01-22,37307.2074725423,927182.3153090001,964489.5227815424,0.009175115933242495,1006040.4990596806,-0.041301494638610325
2020-01-23,37307.2074725423,890784.730523,928091.9379955423,-0.03773766736317796,1006040.4990596806,-0.07748053993551429
2020-02-03,14700.912992520127,823383.147943,838084.0609355201,-0.09698163875274879,1006040.4990596806,-0.1669479889538691
2020-02-04,14700.912992520127,821568.600837,836269.5138295201,-0.0021651134898980073,1006040.4990596806,-0.1687516411007718
2020-02-05,14700.912992520127,840333.0011720001,855033.9141645202,0.022438221201048547,1006040.4990596806,-0.1500999065507822
2020-02-06,14700.912992520127,850263.3425119999,864964.25550452,0.011613973639517106,1006040.4990596806,-0.14022918926924
2020-02-07,14700.912992520127,849183.879892,863884.7928845201,-0.0012479852353786125,1006040.4990596806,-0.14130217054684147
2020-02-10,12556.361146360505,881235.4508039999,893791.8119503604,0.034619221581595916,1006040.4990596806,-0.11157472011736713
2020-02-11,12556.361146360505,879478.8394470002,892035.2005933607,-0.001965347336497336,1006040.4990596806,-0.11332078437486126
2020-02-12,12556.361146360505,909609.521823,922165.8829693606,0.03377745895672901,1006040.4990596806,-0.08337101356129839
2020-02-13,12556.361146360505,923055.849135,935612.2102813605,0.014581245695951095,1006040.4990596806,-0.070005421098005
2020-02-14,12556.361146360505,934889.1914840001,947445.5526303606,0.012647699783056021,1006040.4990596806,-0.058243128864183036
2020-02-17,12674.222435942684,956335.0874069999,969009.3098429426,0.02275989068998774,1006040.4990596806,-0.036808845420587044
2020-02-18,12674.222435942684,955576.9124269999,968251.1348629426,-0.0007824228026487301,1006040.4990596806,-0.03756246814323949
2020-02-19,12674.222435942684,948173.0888469998,960847.3112829425,-0.007646594270243834,1006040.4990596806,-0.04492183745980305
2020-02-20,12674.222435942684,955477.2572499999,968151.4796859426,0.007601799284058464,1006040.4990596806,-0.037661524967585125
2020-02-21,12674.222435942684,977863.3113820001,990537.5338179428,0.023122470606833145,1006040.4990596806,-0.015409881864823505
2020-02-24,8665.312301838145,977574.285267,986239.5975688382,-0.0043389938314993826,1006040.4990596806,-0.019682012313967268
2020-02-25,8665.312301838145,996821.70817,1005487.0204718382,0.019515970511067016,1006040.4990596806,-0.0005501553748181731
2020-02-26,8665.312301838145,953721.973608,962387.2859098382,-0.04286453597558615,1006040.4990596806,-0.04339110919554823
2020-02-27,8665.312301838145,954749.533476,963414.8457778381,0.0010677197039532516,1006040.4990596806,-0.042369719033859554
2020-02-28,8665.312301838145,895324.0051530001,903989.3174548383,-0.061682180405909226,1006040.4990596806,-0.10143844278657455
2020-03-02,3817.3047642862075,911093.1150489999,914910.419813286,0.012081008201729526,1006040.4990596806,-0.09058291324412038
2020-03-03,3817.3047642862075,920567.664296,924384.9690602862,0.01035571247394218,1006040.4990596806,-0.08116525137478625
2020-03-04,3817.3047642862075,929048.3066550002,932865.6114192863,0.00917436202756683,1006040.4990596806,-0.07273552874739031
2020-03-05,3817.3047642862075,929032.4450990001,932849.7498632863,-1.7003045032382147e-05,1006040.4990596806,-0.07275129506695188
2020-03-06,3817.3047642862075,937634.643875,941451.9486392862,0.009221419394989105,1006040.4990596806,-0.06420074587530389
2020-03-09,520.928620627994,891362.9565099999,891883.8851306279,-0.05265065687133663,1006040.4990596806,-0.11347119130467598
2020-03-10,520.928620627994,891572.8102279999,892093.7388486279,0.00023529264459054566,1006040.4990596806,-0.11326259759677249
2020-03-11,520.928620627994,893872.031369,894392.9599896279,0.002577331328395438,1006040.4990596806,-0.11097718150949853
2020-03-12,520.928620627994,869011.9863999999,869532.9150206279,-0.02779543900847381,1006040.4990596806,-0.13568796103799274
2020-03-13,520.928620627994,846172.694992,846693.623612628,-0.026266160847353448,1006040.4990596806,-0.15839012007567288
2020-03-16,2555.037582774501,834575.9765440001,837131.0141267746,-0.011294061061960181,1006040.4990596806,-0.16789531344988717
2020-03-17,2555.037582774501,823157.071405,825712.1089877746,-0.013640523342587252,1006040.4990596806,-0.1792456568502503
2020-03-18,2555.037582774501,811710.611121,814265.6487037746,-0.013862531697678593,1006040.4990596806,-0.19062338994817096
2020-03-19,2555.037582774501,807043.773628,809598.8112107746,-0.005731345170251312,1006040.4990596806,-0.195262206673106
2020-03-20,2555.037582774501,834020.160681,836575.1982637745,0.033320685109030856,1006040.4990596806,-0.1684477920663242
2020-03-23,1207.3063963452878,811573.184409,812780.4908053452,-0.028442998917267315,1006040.4990596806,-0.19209963061623303
2020-03-24,1207.3063963452878,837151.992537,838359.2989333452,0.03147074569008801,1006040.4990596806,-0.16667440354842822
2020-03-25,1207.3063963452878,850040.521845,851247.8282413452,0.01537351506018747,1006040.4990596806,-0.1538632599413403
2020-03-26,1207.3063963452878,841937.208996,843144.5153923453,-0.009519334534739632,1006040.4990596806,-0.1619179186320927
2020-03-27,1207.3063963452878,840870.30988,842077.6162763452,-0.0012653810782409236,1006040.4990596806,-0.1629784118398684
2020-03-30,3667.010045181072,821707.536604,825374.546649181,-0.019835546396571924,1006040.4990596806,-0.17958119238675108
2020-03-31,3667.010045181072,830491.222309,834158.232354181,0.01064206031147874,1006040.4990596806,-0.1708502459554595
2020-04-01,3667.010045181072,838392.3152020001,842059.3252471811,0.00947193540331237,1006040.4990596806,-0.1629965930454772
2020-04-02,3667.010045181072,833789.9965560001,837457.0066011811,-0.005465551544897362,1006040.4990596806,-0.16757127830944185
2020-04-03,3667.010045181072,832501.1610409998,836168.1710861808,-0.0015389870821321816,1006040.4990596806,-0.1688523753589194
2020-04-07,4718.90912213812,862686.0012279998,867404.910350138,0.03735700585610746,1006040.4990596806,-0.13780318867791275
2020-04-08,4718.90912213812,858972.226781,863691.1359031382,-0.004281477315479676,1006040.4990596806,-0.14149466476706707
2020-04-09,4718.90912213812,859625.009066,864343.9181881382,0.0007558052385443492,1006040.4990596806,-0.14084580193737972
2020-04-10,4718.90912213812,849951.0693199998,854669.978442138,-0.01119223441321715,1006040.4990596806,-0.15046165711919623
2020-04-13,3193.4188595884925,854084.880261,857278.2991205885,0.0030518454423833496,1006040.4990596806,-0.14786899739934545
2020-04-14,3193.4188595884925,879531.2100530001,882724.6289125886,0.02968269442735627,1006040.4990596806,-0.12257545323707353
2020-04-15,3193.4188595884925,873925.622788,877119.0416475885,-0.006350323851171513,1006040.4990596806,-0.12814738326398545
2020-04-16,3193.4188595884925,875096.9513259999,878290.3701855884,0.0013354270998378048,1006040.4990596806,-0.12698308765253175
2020-04-17,3193.4188595884925,855112.498808,858305.9176675885,-0.022753810352921344,1006040.4990596806,-0.14684754891097895
2020-04-20,4279.987143681006,851700.7913289999,855980.778472681,-0.0027089865595077978,1006040.4990596806,-0.14915872743419023
2020-04-21,4279.987143681006,840690.271254,844970.258397681,-0.012863045937370088,1006040.4990596806,-0.16010313780861474
2020-04-22,4279.987143681006,842416.652146,846696.639289681,0.0020431262223048474,1006040.4990596806,-0.15838712250543996
2020-04-23,4279.987143681006,856846.1635850001,861126.1507286811,0.01704212674223604,1006040.4990596806,-0.1440442491792796
2020-04-24,4279.987143681006,866839.330942,871119.3180856811,0.011604765862172295,1006040.4990596806,-0.13411108310262543
2020-04-27,4477.303305671475,840866.0202309999,845343.3235366713,-0.029589510890027593,1006040.4990596806,-0.15973231263871446
2020-04-28,4477.303305671475,830484.9803859999,834962.2836916713,-0.012280264782323913,1006040.4990596806,-0.170051022327542
2020-04-29,4477.303305671475,834015.4141600002,838492.7174656716,0.004228255387046964,1006040.4990596806,-0.16654178609172443
2020-04-30,4477.303305671475,846353.847533,850831.1508386715,0.014715015546339583,1006040.4990596806,-0.1542774355168397
2020-05-06,2559.3487158122007,862534.986728,865094.3354438122,0.01676382510334906,1006040.4990596806,-0.14009989035988812
2020-05-07,2559.3487158122007,859045.585181,861604.9338968121,-0.004033550335536429,1006040.4990596806,-0.14356834073565483
2020-05-08,2559.3487158122007,865337.936026,867897.2847418122,0.007303058046036703,1006040.4990596806,-0.1373137706155838
2020-05-11,1168.2919597550936,856325.652666,857493.9446257551,-0.011986833348778037,1006040.4990596806,-0.14765464667950057
2020-05-12,1168.2919597550936,850612.657123,851780.9490827551,-0.006662432520725625,1006040.4990596806,-0.15333334008035238
2020-05-13,1168.2919597550936,855418.888993,856587.1809527552,0.005642567933898501,1006040.4990596806,-0.1485559659343888
2020-05-14,1168.2919597550936,853422.617233,854590.9091927551,-0.0023304945537238053,1006040.4990596806,-0.15054025161857942
2020-05-15,1168.2919597550936,865424.410227,866592.7021867551,0.014043904358094439,1006040.4990596806,-0.13861052015625974
2020-05-18,5510.692602784975,897489.031096,902999.723698785,0.04201168717456372,1006040.4990596806,-0.10242209479360442
2020-05-19,5510.692602784975,890924.811353,896435.503955785,-0.007269348562048528,1006040.4990596806,-0.10894690144814301
