symbol,rows,start_date,end_date,missing_ratio,duplicate_dates,missing_cells,non_positive_price_rows,high_low_error_rows,amount_error_rows
000630,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
601899,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
600362,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
