,000001,000333,000858,002594,300750,600036,600519,600900,601318,601888
2022-01-07,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2022-01-14,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0
2022-01-21,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2
2022-01-28,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2
2022-02-04,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2
2022-02-11,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
2022-02-18,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0
2022-02-25,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0
2022-03-04,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2022-03-11,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0
2022-03-18,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0
2022-03-25,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0
2022-04-01,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0
2022-04-08,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0
2022-04-15,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
2022-04-22,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0
2022-04-29,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2
2022-05-06,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2
2022-05-13,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2
2022-05-20,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2022-05-27,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2022-06-03,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
2022-06-10,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
2022-06-17,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2
2022-06-24,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2
2022-07-01,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0
2022-07-08,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0
2022-07-15,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
