iter	RMSE
0	0.04416818614
1	0.04406020952
2	0.0439143522
3	0.04384041856
4	0.0437145175
5	0.04357880152
6	0.0434763898
7	0.04337055195
8	0.04327573135
9	0.04318999149
10	0.0430939331
11	0.04300947895
12	0.0428941796
13	0.04279561917
14	0.04271076964
15	0.04265106852
16	0.04257443213
17	0.04242510683
18	0.04232697145
19	0.0422538081
20	0.04217304523
21	0.04209270091
22	0.04197936625
23	0.04191667676
24	0.04182227868
25	0.04175817137
26	0.04171320244
27	0.04164052669
28	0.04154656814
29	0.04145453031
30	0.04139730788
31	0.04133422628
32	0.04125481023
33	0.04118028145
34	0.04108849137
35	0.04101483327
36	0.04094520789
37	0.0408888674
38	0.0408148717
39	0.04074229499
40	0.0406863168
41	0.04063342441
42	0.04058893933
43	0.04053643553
44	0.04045801407
45	0.0403795377
46	0.04029107344
47	0.04021846988
48	0.04015509298
49	0.04008600035
50	0.03998246301
51	0.03995271191
52	0.03990886685
53	0.03985718501
54	0.03978874189
55	0.03970106485
56	0.03960865061
57	0.03955479527
58	0.03951254508
59	0.03945859128
60	0.03939517295
61	0.03933344692
62	0.03927075115
63	0.03920815616
64	0.0391511678
65	0.03907406018
66	0.03898890465
67	0.03893222272
68	0.03888952623
69	0.03883086457
70	0.03878635578
71	0.03871825978
72	0.03867403999
73	0.03858899359
74	0.03851210461
75	0.03847496657
76	0.03841172078
77	0.03838127298
78	0.03831204108
79	0.03823549737
80	0.03819346045
81	0.0381550493
82	0.03808927417
83	0.03804537724
84	0.03797592252
85	0.03789938451
86	0.03785597012
87	0.03780691283
88	0.03775476674
89	0.03772179124
90	0.03767337042
91	0.03762858861
92	0.03759100902
93	0.03753776494
94	0.03747880085
95	0.03744211664
96	0.037392553
97	0.03736530827
98	0.03730270192
99	0.03725580808
100	0.03722091254
101	0.03714653833
102	0.03708012314
103	0.03704321741
104	0.03699351592
105	0.03693956137
106	0.03688445888
107	0.03682310049
108	0.03676847981
109	0.03672460423
110	0.03668420824
111	0.03665018948
112	0.03658342017
113	0.03652034844
114	0.03646103587
115	0.03637280718
116	0.03633553714
117	0.03628072488
118	0.03619554638
119	0.03615607642
