factor,ic_mean,rank_ic_mean,ic_ir,observations
rsi_24,0.07255017144494753,0.061436280614362807,0.22365140832053373,1022
kdj_k_9,0.06833037561852788,0.05506781824117769,0.2097500541604009,1021
kdj_d_9,0.07559512467025763,0.05820806490097829,0.23525466245841317,1016
kdj_j_9,0.04561579220415534,0.03883321403006442,0.13508061075569813,1016
cci_14,0.04036209984080343,0.036981580510992276,0.11787301442821335,1020
cci_20,0.04920378524764549,0.040081286235132386,0.14629773672156252,1014
williams_r_14,0.040201696746093044,0.026627793974732753,0.11877105957789974,1029
williams_r_20,0.05088439639189595,0.040628507295173956,0.15233053232326052,1026
money_flow_index_14,0.02901756921731563,0.024768089053803337,0.08719709549078478,1029
money_flow_index_20,0.04643936597935203,0.037119735365349404,0.14167148316520076,1026
price_position_20,0.05088439639189595,0.040628507295173956,0.15233053232326052,1026
price_position_40,0.0815998592181985,0.06568548266475216,0.24655370996816908,1013
price_position_60,0.0929466099843917,0.07512360845694178,0.2790290311125142,999
price_position_120,0.095780549906604,0.08372989540872752,0.28653247757319883,959
price_position_240,0.0664831542872037,0.06093012031578585,0.19744190207307524,879
breakout_high_20,0.054941507840071534,0.04726800165396657,0.16407271360207465,1026
breakout_high_40,0.08271655054009756,0.06926321457417212,0.24395975048896007,1013
breakout_high_60,0.09302327868379778,0.07583947583947584,0.26710137114599236,999
breakout_high_120,0.08463482272268187,0.08619458400480298,0.2449884486964315,959
breakout_high_240,0.04568867218546244,0.042562140173061674,0.1381885701174567,879
breakdown_low_20,0.056025370864748195,0.040392226357138634,0.16759294211202497,1026
breakdown_low_40,0.07953817986902112,0.06856920637769601,0.2460630786384155,1013
breakdown_low_60,0.07659030159087281,0.06783146783146783,0.23475818771785723,999
breakdown_low_120,0.07742553082972109,0.07162132271621323,0.23734217786467074,959
breakdown_low_240,0.045713767779478484,0.0556210569862447,0.13226114964738753,879
amount_mean_5,0.019614599646853855,0.02356902356902357,0.05688661030266474,1035
amount_mean_10,0.02366726465922305,0.02089762807512565,0.06952710297192452,1031
amount_mean_20,0.033563980352219976,0.016634178037686808,0.09923425200349052,1026
amount_mean_40,0.02951123776405556,0.010787041191779593,0.08709444082336448,1013
amount_mean_60,0.026051303942053766,0.007468074134740803,0.07717810717439455,999
amount_mean_120,0.026438032191263866,0.0026858785982873568,0.0777946431571955,959
amount_zscore_20,0.0030380227539111852,0.006226002717230787,0.009313584675531889,1026
amount_zscore_60,0.015951232624516955,0.01859435192768526,0.04860282542881382,999
amount_percentile_20,0.004204675077560771,0.009492542997723112,0.012915817425082745,1026
amount_percentile_60,0.014840953684658138,0.016442621884733447,0.045260307946925565,999
turnover_mean_5,0.006447772258439255,0.009316351925047577,0.019444443429550727,1035
turnover_mean_10,-0.007196401082089494,-0.01249154983393587,-0.02129942011175975,1031
turnover_mean_20,0.0003595236929238253,-0.0042294287908322984,0.0010654299222791841,1026
turnover_mean_40,-0.011673859539046389,-0.010966526070178588,-0.035745641630488344,1013
turnover_mean_60,-0.0029660441633710755,-0.018824885491552156,-0.00929855239071509,999
turnover_mean_120,-0.033472826656614454,-0.030277751445634656,-0.10155090344151323,959
turnover_zscore_20,-0.00919963111849013,-0.009817472975367713,-0.028035969521618832,1026
turnover_zscore_60,-0.008151814446859397,-0.010064610064610065,-0.02498012138221871,999
turnover_percentile_20,-0.013992909811668732,-0.009000961902023178,-0.04224366537684969,1026
turnover_percentile_60,-0.0090530828575121,-0.009208826389823255,-0.027666443503800514,999
volume_ratio_5_20,-0.00043851313347326474,0.0028527462121212123,-0.001334426931408022,1024
volume_ratio_10_60,-0.0020453389051913167,-0.0093002093002093,-0.005924738898886688,999
amount_ratio_5_20,0.011787536534567959,0.013316761363636364,0.0359010602439231,1024
amount_ratio_10_60,0.034128708594234246,0.02347195680529014,0.09703004153747735,999
vwap_bias_5,0.01166106748573181,0.013977455716586151,0.034204100312884504,1035
vwap_bias_20,0.05904658425563648,0.05174552542973595,0.1796239935054773,1026
vwap_bias_60,0.09707771725455741,0.08217308217308218,0.29324595615843896,999
obv_slope_20,0.034077871624020054,0.011400137063853878,0.10140614342831922,1017
obv_slope_60,-0.021738062985956194,-0.03148165379485748,-0.06262878687457839,977
volume_price_corr_20,0.01270218544137432,0.010053753913403038,0.03667352181931346,1026
volume_price_corr_60,-0.02207923784395082,-0.023411290077956743,-0.06742079910696189,999
return_amount_corr_20,0.022011930464826697,0.016266075388026605,0.06691795788314074,1025
return_amount_corr_60,-0.006239706054427218,-0.008659743729884008,-0.01843367710390834,998
amount_shock_count_20,0.000152139678012678,-0.004810579813042066,0.0004336380986228626,1025
amount_shock_count_60,0.04600516476206448,0.039791211405125294,0.13238573241775592,995
signed_volume_flow_20,0.037297424064998135,0.0312835961958769,0.11574354887860393,1026
signed_volume_flow_60,0.07902407152890761,0.062262262262262266,0.23896377127635457,999
price_volume_trend_20,0.006537932300317919,0.00304520127528977,0.020632142250040113,1017
price_volume_trend_60,-0.007441751508404032,-0.002996184981855402,-0.022561771069964414,977
intraday_return,-0.0006774758048293387,-0.0028376248029427223,-0.002077215826720727,1038
overnight_return,0.007007719991890456,0.010268548552058677,0.0209409015489554,1037
gap_return,0.007007719991890456,0.010268548552058677,0.0209409015489554,1037
amplitude,-0.0021146889971453125,-0.008480172993191315,-0.006447630696169093,1037
atr_pct_5,-0.025187705752828454,-0.030666081100863708,-0.07491744409858998,1035
atr_pct_10,-0.012648655398800725,-0.01339681979837169,-0.03712593031814382,1031
atr_pct_20,-0.015574305654112467,-0.011648650245141473,-0.044319345764737804,1026
atr_pct_60,-0.08047259664945469,-0.06609639942973276,-0.23075340076748435,999
amplitude_mean_5,-0.022321569122163036,-0.030549205790985287,-0.06695364867822129,1034
amplitude_mean_10,-0.0009045914131971237,-0.006613709914680788,-0.002640121083020508,1030
amplitude_mean_20,0.015293299025078071,0.0072195121951219516,0.04474208969938803,1025
amplitude_mean_60,0.01585126063144814,0.015206169915588753,0.046960032603899214,998
amplitude_zscore_20,-0.004443458783427918,-0.009229859571322985,-0.013754039432229668,1025
amplitude_zscore_60,-0.00528690867652801,-0.011283172405416894,-0.016261089532926494,998
bollinger_zscore_20,0.048772384103751634,0.04329848189497312,0.1454031457435782,1026
bollinger_zscore_60,0.0899101361565087,0.07406800740134074,0.2730291749673847,999
bollinger_width_20,0.0006914295689829357,0.012050327839801523,0.0020139778062439454,1026
bollinger_width_60,-0.011674931007257128,-0.005866472533139199,-0.032504573947578976,999
bollinger_breakout_count_20,0.06256572855701918,0.06439339857735239,0.1838070863029244,1026
bollinger_breakout_count_60,0.07520130878487011,0.06526238739759348,0.22983911341625007,997
close_position,-0.0020657794116417066,-0.0007590354411163662,-0.006255761560120451,1038
upper_shadow,-0.004629003647933492,-0.007018158463245167,-0.013805675026093126,1038
lower_shadow,-0.006489140259788366,-0.004811116949845273,-0.019318666748784453,1038
body_size,0.009040381936231464,0.0031062065744146663,0.027276482401587702,1038
close_to_high_20,0.054941507840071534,0.04726800165396657,0.16407271360207465,1026
close_to_high_60,0.09302327868379778,0.07583947583947584,0.26710137114599236,999
close_to_high_120,0.08463482272268187,0.08619458400480298,0.2449884486964315,959
close_to_low_20,0.056025370864748195,0.040392226357138634,0.16759294211202497,1026
close_to_low_60,0.07659030159087281,0.06783146783146783,0.23475818771785723,999
close_to_low_120,0.07742553082972109,0.07162132271621323,0.23734217786467074,959
return_skew_20,-0.008989022986350674,-0.0028259130898427094,-0.027043013919220933,1023
return_skew_60,0.014500986703377764,0.012594886743183337,0.04416658816753449,998
return_kurt_20,-0.02744869290639717,-0.025907165496608313,-0.08301175369409815,1023
return_kurt_60,-0.04591998737362955,-0.0635209813566527,-0.14556818798789997,998
amihud_illiquidity_20,-0.03826144279778364,-0.0303148789952309,-0.11256500218354748,1023
amihud_illiquidity_60,-0.0404886142332504,-0.024776826380032792,-0.11883542002935395,998
limit_up_count_20,0.0,0.0,0.0,0
limit_up_count_60,0.0,0.0,0.0,0
limit_down_count_20,0.0,0.0,0.0,0
limit_down_count_60,0.0,0.0,0.0,0
limit_up_near_5,0.0,0.0,0.0,0
limit_down_near_5,0.0,0.0,0.0,0
gap_up_count_20,0.0,0.0,0.0,0
gap_up_count_60,0.0,0.0,0.0,0
gap_down_count_20,0.0,0.0,0.0,0
gap_down_count_60,0.0,0.0,0.0,0
long_upper_shadow_count_20,0.001445061451560212,-0.0017945319465405816,0.004405083119973011,1026
long_upper_shadow_count_60,-0.01439414726273481,-0.018710872295786198,-0.043363852362194526,999
long_lower_shadow_count_20,-0.010563495791974705,-0.0038115226661586156,-0.03275231980840558,1026
long_lower_shadow_count_60,-0.03986149515297986,-0.026372466095193562,-0.11917583799748134,999
up_day_ratio_20,0.05871570706115569,0.04852290305880777,0.18365709269822572,1024
up_day_ratio_60,0.08576019799887553,0.07259880545558212,0.2594187947167207,999
down_day_ratio_20,-0.05871570706115572,-0.04852290305880777,-0.1836570926982258,1024
down_day_ratio_60,-0.08576019799887552,-0.07259880545558212,-0.2594187947167206,999
positive_body_ratio_20,0.06384092392517089,0.059435643812186495,0.18961367733105036,1026
positive_body_ratio_60,0.07827094325533848,0.06362255261545481,0.2283055801268759,999
return_autocorr_20,0.0018460602809694108,0.012541019955654103,0.005607723566289819,1025
return_autocorr_60,-0.00742062978624397,-0.004748891722839619,-0.0218373417183484,998
downside_tail_return_20,0.05221112386137563,0.03719733924611973,0.1557662999741087,1025
downside_tail_return_60,0.06313962055621222,0.05620938847391753,0.17613896145104355,998
upside_tail_return_20,0.0508292822517994,0.044186252771618625,0.1516740556755487,1025
upside_tail_return_60,0.07948107800677305,0.08200643711665756,0.22879567387735972,998
return_abs_mean_20,0.01664020518147786,0.011866962305986696,0.05046478804340335,1025
return_abs_mean_60,0.016965523466387473,0.022748527357745796,0.05081322333689521,998
price_efficiency_20,0.012368473349694868,0.01928915877835328,0.03516767441793977,1018
price_efficiency_60,0.0005048724851147137,0.0014252959038235117,0.0014803804248356913,978
price_efficiency_120,0.031196312591581628,0.028045157456922164,0.09503514493814665,918
trend_strength_20,0.015777836975089714,0.020837054235875452,0.045182746243009,1018
trend_strength_60,0.002493019084857644,0.004660097911631654,0.007313786093876716,978
trend_strength_120,0.03321685389466456,0.029920116194626,0.1014634217026749,918
close_above_ma_ratio_20,0.08302078731200051,0.07104227643697476,0.25491979732394976,1026
